* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
7	2	0	20	111301	1	79	5
8	1	0	20	111301	1	95	5
8	2	0	20	111301	1	95	5
8	3	0	20	111301	1	95	5
8	4	0	20	111301	1	95	5
8	5	0	20	111301	1	95	5
8	6	0	20	111301	1	95	5
8	7	0	20	111301	1	95	5
8	8	0	20	111301	1	95	5
8	9	0	20	111301	1	95	5
8	10	0	20	111301	1	95	5
8	11	0	20	111301	1	95	5
8	12	0	20	111301	1	95	5
8	13	0	20	111301	1	95	5
8	14	0	20	111301	1	95	5
8	15	0	20	111301	1	95	5
8	16	0	20	111301	1	95	5
8	17	0	20	111301	1	95	5
8	18	0	20	111301	1	95	5
8	19	0	20	111301	1	95	5
8	20	0	20	111301	1	95	5
8	21	0	20	111301	1	95	5
8	22	0	20	111301	1	95	5
1	1	0	18	111301	0	1	6
1	2	0	18	111301	0	1	6
1	3	0	16	111301	0	1	6
1	4	0	16	111301	0	1	6
2	1	0	18	111301	0	19	6
2	2	0	18	111301	0	19	6
2	3	0	16	111301	0	19	6
2	4	0	16	111301	0	19	6
2	5	0	18	111301	0	19	6
2	6	0	16	111301	0	19	6
2	7	0	16	111301	0	19	6
2	8	0	16	111301	0	19	6
2	9	0	16	111301	0	19	6
2	10	0	16	111301	0	19	6
2	11	0	16	111301	0	19	6
2	12	0	18	111301	0	19	6
2	13	0	16	111301	0	19	6
2	14	0	18	111301	0	19	6
2	15	0	16	111301	0	19	6
2	16	0	16	111301	0	19	6
3	1	0	20	111301	1	33	6
3	2	0	20	111301	1	33	6
3	3	0	20	111301	1	33	6
4	1	0	20	111301	1	40	6
4	2	0	20	111301	1	40	6
4	3	0	20	111301	1	40	6
4	4	0	20	111301	1	40	6
4	5	0	18	111301	1	40	6
4	6	0	16	111301	0	40	6
4	7	0	18	111301	0	40	6
4	8	0	18	111301	0	40	6
4	9	0	16	111301	0	40	6
4	10	0	18	111301	0	40	6
4	11	0	16	111301	0	40	6
4	12	0	16	111301	0	40	6
4	13	0	18	111301	0	40	6
4	14	0	18	111301	0	40	6
4	15	0	18	111301	0	40	6
4	16	0	18	111301	0	40	6
5	1	0	20	111301	1	54	6
5	2	0	20	111301	1	54	6
5	3	0	20	111301	1	54	6
5	4	0	20	111301	1	54	6
5	5	0	20	111301	1	54	6
6	1	0	20	111301	1	63	6
6	2	0	20	111301	1	63	6
6	3	0	20	111301	1	63	6
6	4	0	20	111301	1	63	6
6	5	0	20	111301	1	63	6
6	6	0	20	111301	1	63	6
7	1	0	20	111301	1	76	6
7	2	0	20	111301	1	76	6
8	1	0	20	111301	1	86	6
8	2	0	20	111301	1	86	6
8	3	0	20	111301	1	86	6
8	4	0	20	111301	1	86	6
8	5	0	20	111301	1	86	6
8	6	0	20	111301	1	86	6
8	7	0	20	111301	1	86	6
8	8	0	20	111301	1	86	6
8	9	0	20	111301	1	86	6
8	10	0	20	111301	1	86	6
8	11	0	20	111301	1	86	6
8	12	0	20	111301	1	86	6
8	13	0	20	111301	1	86	6
8	14	0	20	111301	1	86	6
8	15	0	20	111301	1	86	6
8	16	0	20	111301	1	86	6
8	17	0	20	111301	1	86	6
8	18	0	20	111301	1	86	6
8	19	0	20	111301	1	86	6
