* Dictionary *
match:		match #
round:		round #
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
r:			payoff to joint cooperation, = {32, 40, 48}
delta:		continuation probability, = {1/2, 3/4}
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a match
id:			id #, constant through session
**************

match	round	date	r	delta	coop	group	id
10	1	22206.2	32	.5	1	1935	40
10	1	22206.2	32	.5	1	1936	33
10	1	22206.2	32	.5	0	1936	38
10	1	22206.2	32	.5	0	1937	29
10	1	22206.2	32	.5	0	1937	39
10	1	22206.2	32	.5	0	1938	34
10	1	22206.2	32	.5	0	1938	36
11	1	22206.2	32	.5	0	1939	33
11	2	22206.2	32	.5	0	1939	33
11	1	22206.2	32	.5	0	1939	42
11	2	22206.2	32	.5	0	1939	42
11	1	22206.2	32	.5	0	1940	36
11	2	22206.2	32	.5	0	1940	36
11	1	22206.2	32	.5	0	1940	44
11	2	22206.2	32	.5	0	1940	44
11	1	22206.2	32	.5	1	1941	31
11	2	22206.2	32	.5	0	1941	31
11	1	22206.2	32	.5	0	1941	43
11	2	22206.2	32	.5	1	1941	43
11	1	22206.2	32	.5	0	1942	29
11	2	22206.2	32	.5	0	1942	29
11	1	22206.2	32	.5	1	1942	35
11	2	22206.2	32	.5	1	1942	35
11	1	22206.2	32	.5	0	1943	38
11	2	22206.2	32	.5	0	1943	38
11	1	22206.2	32	.5	1	1943	40
11	2	22206.2	32	.5	0	1943	40
11	1	22206.2	32	.5	0	1944	34
11	2	22206.2	32	.5	0	1944	34
11	1	22206.2	32	.5	0	1944	41
11	2	22206.2	32	.5	0	1944	41
11	1	22206.2	32	.5	0	1945	30
11	2	22206.2	32	.5	0	1945	30
11	1	22206.2	32	.5	0	1945	39
11	2	22206.2	32	.5	0	1945	39
11	1	22206.2	32	.5	0	1946	32
11	2	22206.2	32	.5	0	1946	32
11	1	22206.2	32	.5	0	1946	37
11	2	22206.2	32	.5	0	1946	37
12	1	22206.2	32	.5	0	1947	36
12	1	22206.2	32	.5	0	1947	44
12	1	22206.2	32	.5	0	1948	30
12	1	22206.2	32	.5	0	1948	33
12	1	22206.2	32	.5	0	1949	38
12	1	22206.2	32	.5	1	1949	43
12	1	22206.2	32	.5	0	1950	29
12	1	22206.2	32	.5	0	1950	32
12	1	22206.2	32	.5	0	1951	31
12	1	22206.2	32	.5	0	1951	37
12	1	22206.2	32	.5	0	1952	35
12	1	22206.2	32	.5	1	1952	40
12	1	22206.2	32	.5	1	1953	39
12	1	22206.2	32	.5	0	1953	42
12	1	22206.2	32	.5	0	1954	34
12	1	22206.2	32	.5	0	1954	41
13	1	22206.2	32	.5	0	1955	29
13	2	22206.2	32	.5	0	1955	29
13	3	22206.2	32	.5	0	1955	29
13	4	22206.2	32	.5	0	1955	29
13	1	22206.2	32	.5	0	1955	36
13	2	22206.2	32	.5	0	1955	36
13	3	22206.2	32	.5	0	1955	36
13	4	22206.2	32	.5	0	1955	36
13	1	22206.2	32	.5	0	1956	34
13	2	22206.2	32	.5	0	1956	34
13	3	22206.2	32	.5	0	1956	34
13	4	22206.2	32	.5	0	1956	34
13	1	22206.2	32	.5	0	1956	35
13	2	22206.2	32	.5	0	1956	35
13	3	22206.2	32	.5	1	1956	35
13	4	22206.2	32	.5	0	1956	35
13	1	22206.2	32	.5	0	1957	39
13	2	22206.2	32	.5	0	1957	39
13	3	22206.2	32	.5	0	1957	39
13	4	22206.2	32	.5	0	1957	39
13	1	22206.2	32	.5	0	1957	41
13	2	22206.2	32	.5	0	1957	41
13	3	22206.2	32	.5	0	1957	41
13	4	22206.2	32	.5	0	1957	41
13	1	22206.2	32	.5	1	1958	40
13	2	22206.2	32	.5	0	1958	40
13	3	22206.2	32	.5	0	1958	40
13	4	22206.2	32	.5	0	1958	40
13	1	22206.2	32	.5	0	1958	43
13	2	22206.2	32	.5	0	1958	43
13	3	22206.2	32	.5	0	1958	43
13	4	22206.2	32	.5	0	1958	43
13	1	22206.2	32	.5	0	1959	37
13	2	22206.2	32	.5	0	1959	37
13	3	22206.2	32	.5	0	1959	37
13	4	22206.2	32	.5	0	1959	37
