* Dictionary *
date:       session date (month/day/year/*, * is a decimal to separate different sessions conducted on the same day)
random:     sessions with the same value of random had the same random termination sequence
treatment:	= 1 if RT, = 2 if D + RT, = 3 if BRT, = 4 if D + C (see paper for details) 
id:         id #, constant through session
match:      match #
round:      round #
group:      identifies subjects that were grouped together for a match
valid:      = 1 if round counts toward final payoffs and is not last, = 0 if round counts toward final payoff and is last, = -1 if round does not count towards final payoffs; except for treatment = 2 where it takes on value 0 when the random number > 0.75 and -1 afterward, even if the game continued because it was in the front loaded part with payoff discounting.
spe:        = 1 if joint cooperation can be supported in equilibrium; 0 o/w
coop:       = 1 if subject cooperated, = 0 o/w
**************

date	random	treatment	id	match	round	group	valid	spe	coop
110609.1	1	1	2	13	4	122	1	0	1
110609.1	1	1	2	13	5	122	0	0	0
110609.1	1	1	2	14	1	132	1	0	0
110609.1	1	1	2	14	2	132	1	0	0
110609.1	1	1	2	14	3	132	1	0	0
110609.1	1	1	2	14	4	132	0	0	0
110609.1	1	1	2	15	1	141	1	0	0
110609.1	1	1	2	15	2	141	1	0	0
110609.1	1	1	2	15	3	141	1	0	0
110609.1	1	1	2	15	4	141	1	0	0
110609.1	1	1	2	15	5	141	1	0	0
110609.1	1	1	2	15	6	141	1	0	0
110609.1	1	1	2	15	7	141	1	0	0
110609.1	1	1	2	15	8	141	0	0	0
110609.1	1	1	2	16	1	152	1	0	0
110609.1	1	1	2	16	2	152	0	0	0
110609.1	1	1	2	17	1	163	1	0	0
110609.1	1	1	2	17	2	163	1	0	0
110609.1	1	1	2	17	3	163	1	0	0
110609.1	1	1	2	17	4	163	1	0	0
110609.1	1	1	2	17	5	163	1	0	0
110609.1	1	1	2	17	6	163	1	0	0
110609.1	1	1	2	17	7	163	1	0	0
110609.1	1	1	2	17	8	163	1	0	0
110609.1	1	1	2	17	9	163	1	0	0
110609.1	1	1	2	17	10	163	1	0	0
110609.1	1	1	2	17	11	163	1	0	0
110609.1	1	1	2	17	12	163	0	0	0
110609.1	1	1	2	18	1	171	1	0	0
110609.1	1	1	2	18	2	171	1	0	0
110609.1	1	1	2	18	3	171	1	0	0
110609.1	1	1	2	18	4	171	0	0	0
110609.1	1	1	3	1	1	1	1	1	1
110609.1	1	1	3	1	2	1	0	1	1
110609.1	1	1	3	2	1	11	1	1	1
110609.1	1	1	3	2	2	11	1	1	1
110609.1	1	1	3	2	3	11	0	1	1
110609.1	1	1	3	3	1	23	1	1	1
110609.1	1	1	3	3	2	23	1	1	1
110609.1	1	1	3	3	3	23	1	1	1
110609.1	1	1	3	3	4	23	0	1	1
110609.1	1	1	3	4	1	33	1	1	1
110609.1	1	1	3	4	2	33	0	1	1
110609.1	1	1	3	5	1	44	1	1	1
110609.1	1	1	3	5	2	44	1	1	0
110609.1	1	1	3	5	3	44	1	1	0
110609.1	1	1	3	5	4	44	1	1	0
110609.1	1	1	3	5	5	44	0	1	0
110609.1	1	1	3	6	1	53	1	1	1
110609.1	1	1	3	6	2	53	1	1	1
110609.1	1	1	3	6	3	53	1	1	1
110609.1	1	1	3	6	4	53	1	1	0
110609.1	1	1	3	6	5	53	1	1	0
110609.1	1	1	3	6	6	53	0	1	0
110609.1	1	1	3	7	1	61	1	1	1
110609.1	1	1	3	7	2	61	1	1	1
110609.1	1	1	3	7	3	61	1	1	0
110609.1	1	1	3	7	4	61	0	1	0
110609.1	1	1	3	8	1	71	1	1	1
110609.1	1	1	3	8	2	71	1	1	1
110609.1	1	1	3	8	3	71	1	1	1
110609.1	1	1	3	8	4	71	1	1	1
110609.1	1	1	3	8	5	71	0	1	1
110609.1	1	1	3	9	1	83	1	1	1
110609.1	1	1	3	9	2	83	1	1	1
110609.1	1	1	3	9	3	83	1	1	1
110609.1	1	1	3	9	4	83	1	1	1
110609.1	1	1	3	9	5	83	1	1	1
110609.1	1	1	3	9	6	83	1	1	1
110609.1	1	1	3	9	7	83	1	1	1
110609.1	1	1	3	9	8	83	1	1	1
110609.1	1	1	3	9	9	83	0	1	1
110609.1	1	1	3	10	1	92	1	1	1
110609.1	1	1	3	10	2	92	0	1	1
110609.1	1	1	3	11	1	101	1	1	1
110609.1	1	1	3	11	2	101	1	1	1
110609.1	1	1	3	11	3	101	1	1	1
110609.1	1	1	3	11	4	101	1	1	1
110609.1	1	1	3	11	5	101	1	1	1
110609.1	1	1	3	11	6	101	1	1	1
110609.1	1	1	3	11	7	101	1	1	1
110609.1	1	1	3	11	8	101	1	1	1
110609.1	1	1	3	11	9	101	1	1	1
110609.1	1	1	3	11	10	101	0	1	1
110609.1	1	1	3	12	1	113	1	1	1
110609.1	1	1	3	12	2	113	1	1	1
110609.1	1	1	3	12	3	113	1	1	1
110609.1	1	1	3	12	4	113	1	1	1
110609.1	1	1	3	12	5	113	1	1	1
110609.1	1	1	3	12	6	113	1	1	1
110609.1	1	1	3	12	7	113	1	1	1
110609.1	1	1	3	12	8	113	1	1	1
110609.1	1	1	3	12	9	113	1	1	1
110609.1	1	1	3	12	10	113	0	1	1
110609.1	1	1	3	13	1	125	1	0	0
110609.1	1	1	3	13	2	125	1	0	1
110609.1	1	1	3	13	3	125	1	0	0
110609.1	1	1	3	13	4	125	1	0	0
110609.1	1	1	3	13	5	125	0	0	0
110609.1	1	1	3	14	1	133	1	0	0
110609.1	1	1	3	14	2	133	1	0	1
110609.1	1	1	3	14	3	133	1	0	0
110609.1	1	1	3	14	4	133	0	0	0
110609.1	1	1	3	15	1	143	1	0	0
110609.1	1	1	3	15	2	143	1	0	1
110609.1	1	1	3	15	3	143	1	0	0
110609.1	1	1	3	15	4	143	1	0	1
110609.1	1	1	3	15	5	143	1	0	0
110609.1	1	1	3	15	6	143	1	0	1
110609.1	1	1	3	15	7	143	1	0	0
110609.1	1	1	3	15	8	143	0	0	1
110609.1	1	1	3	16	1	151	1	0	0
110609.1	1	1	3	16	2	151	0	0	1
110609.1	1	1	3	17	1	162	1	0	0
110609.1	1	1	3	17	2	162	1	0	1
110609.1	1	1	3	17	3	162	1	0	0
110609.1	1	1	3	17	4	162	1	0	1
110609.1	1	1	3	17	5	162	1	0	0
110609.1	1	1	3	17	6	162	1	0	0
110609.1	1	1	3	17	7	162	1	0	0
