* Dictionary *
session:	session #
period:	period #
round:	round # within the period
id:		id #
position:	position in the network; 1:=s1, 2:=s2, 3:=b1, 4:=s3, 5:=s4, 6:=b2, 7:=b3
vote:		= 1 if the subjected accepted the best offer received, i.e. offer_1
by:		position of subject whose offer is accepted
payoff:	payoff in that round
V:		= 1 if subject is part of the V network, = 0 o/w
X:		= 1 if subject is part of the |X| network, = 0 o/w
N:		= 1 if subject is part of the N network, = 0 o/w
amount:	amount to be divided
offer:	amount offered
offer_1:	best offer received
offer_2:	second best offer received
offer_3:	worst offer received
accepted:	= 1 if offer was accepted, = 0 o/w
link_bt:	= 1 if there is a link from the bottom of the V (b1) to the top of the |X| or the N (s3), 0 o/w
link_tb:	= 1 if there is a link from the top of the V (s2) to the bottom of the |X| or the N (b2), 0 o/w
* Note that 10 observations from 5 periods have been changed after publication of the paper. These were recording mistakes.
**************

session	period	round	id	position	vote	by	payoff	V	X	N	amount	offer	offer_1	offer_2	offer_3	accepted	link_bt	link_tb
2	3	2	12	7			1200	0	1	0	2400	1200				1	0	0
2	4	1	13	1			950	1	0	0	2500	1550				1	0	0
2	4	1	8	2			200	1	0	0	2500	1500				0	0	0
2	4	1	11	3	1	1	1550	1	0	0	2500		1550	1500			0	0
2	4	1	14	4			1300	0	1	0	2500	1200				1	0	0
2	4	1	12	5			1300	0	1	0	2500	1200				1	0	0
2	4	1	9	6	1	4	1200	0	1	0	2500		1200	1200			0	0
2	4	1	10	7	1	5	1200	0	1	0	2500		1200	1200			0	0
2	5	1	11	1			800	1	0	0	2500	1700				1	1	0
2	5	1	13	2			200	1	0	0	2500	1600				0	1	0
2	5	1	8	3	1	1	1700	1	0	0	2500		1700	1600	1200		1	0
2	5	1	12	4			1300	0	1	0	2500	1200				1	1	0
2	5	1	14	5			1300	0	1	0	2500	1200				1	1	0
2	5	1	10	6	1	4	1200	0	1	0	2500		1200	1200			1	0
2	5	1	9	7	1	5	1200	0	1	0	2500		1200	1200			1	0
2	6	1	8	1			500	1	0	0	2500	2000				1	1	0
2	6	1	11	2			200	1	0	0	2500	1800				0	1	0
2	6	1	13	3	1	1	2000	1	0	0	2500		2000	1800	1200		1	0
2	6	1	14	4			1300	0	1	0	2500	1200				0	1	0
2	6	1	9	5			1300	0	1	0	2500	1200				1	1	0
2	6	1	10	7	1	5	1200	0	1	0	2500		1200	1200			1	0
2	7	1	13	1			200	1	0	0	2500	1900				0	1	0
2	7	1	8	2			400	1	0	0	2500	2100				1	1	0
2	7	1	11	3	1	2	2100	1	0	0	2500		2100	1900	1200		1	0
2	7	1	10	4			1300	0	1	0	2500	1200				1	1	0
2	7	1	12	5			1300	0	1	0	2500	1200				0	1	0
2	7	1	9	6	1	4	1200	0	1	0	2500		1200	1200			1	0
2	7	1	14	7	1	4	1200	0	1	0	2500		1200	1200			1	0
2	8	1	8	1			200	1	0	0	2500	2000				0	1	0
2	8	1	11	2			400	1	0	0	2500	2100				1	1	0
2	8	1	13	3	1	2	2100	1	0	0	2500		2100	2000	1200		1	0
2	8	1	14	4			1300	0	1	0	2500	1200				1	1	0
2	8	1	10	5			1300	0	1	0	2500	1200				1	1	0
2	8	1	12	6	1	4	1200	0	1	0	2500		1200	1200			1	0
2	8	1	9	7	1	5	1200	0	1	0	2500		1200	1200			1	0
2	9	1	11	1			350	1	0	0	2500	2150				1	1	0
2	9	1	13	2			200	1	0	0	2500	2100				0	1	0
2	9	1	8	3	1	1	2150	1	0	0	2500		2150	2100	1200		1	0
2	9	1	10	4			0	0	1	0	2500	1200				0	1	0
2	9	1	9	5			1300	0	1	0	2500	1200				1	1	0
2	9	1	12	7	1	5	1200	0	1	0	2500		1200	1200			1	0
2	9	2	10	4	1	6	1150	0	1	0	2400		1150				1	0
2	9	2	14	6			1250	0	1	0	2400	1150				1	1	0
2	10	1	13	1			200	1	0	0	2500	0				0	1	0
2	10	1	8	2			300	1	0	0	2500	2200				1	1	0
2	10	1	11	3	1	2	2200	1	0	0	2500		2200	1200	0		1	0
2	10	1	9	4			1300	0	1	0	2500	1200				1	1	0
2	10	1	10	6	1	4	1200	0	1	0	2500		1200				1	0
2	10	1	14	7	0		0	0	1	0	2500		1200			0	1	0
2	10	2	12	5	0		0	0	1	0	2400		1150			0	1	0
2	10	2	14	7			0	0	1	0	2400	1150				0	1	0
2	10	3	12	5			1150	0	1	0	2300	1150				1	1	0
2	10	3	14	7	1	5	1150	0	1	0	2300		1150				1	0
3	1	1	15	1			0	1	0	0	2500	1250				0	0	0
3	1	1	18	2			0	1	0	0	2500	1200				0	0	0
3	1	1	20	3	0		0	1	0	0	2500		1250	1200		0	0	0
3	1	1	16	4			0	0	1	0	2500	1000				0	0	0
3	1	1	17	5			1250	0	1	0	2500	1250				1	0	0
3	1	1	19	6	1	5	1250	0	1	0	2500		1250	1000			0	0
3	1	1	21	7	1	5	0	0	1	0	2500		1250	1000			0	0
3	1	2	15	1	1	3	200	1	0	0	2400		1150				0	0
3	1	2	18	2	1	3	1150	1	0	0	2400		1150				0	0
3	1	2	20	3			1250	1	0	0	2400	1150				1	0	0
3	1	2	16	4	0		0	0	1	0	2400		400			0	0	0
3	1	2	21	7			0	0	1	0	2400	400				0	0	0
3	1	3	16	4			0	0	1	0	2300	1100				0	0	0
3	1	3	21	7	0		0	0	1	0	2300		1100			0	0	0
3	1	4	16	4	0		0	0	1	0	2200		500			0	0	0
3	1	4	21	7			0	0	1	0	2200	500				0	0	0
