NOTE: A bug in the code of the experimental software used to run some of the early sessions led to a loss of data. This loss is reflected in the data file. The bug affected a small share of the data collected in the initial 12 sessions (out of 32 sessions in total), specifically 0.3% of sender-receiver interactions. 
Because of an integer problem, some subjects in some rounds observed the realization of an event that was supposed to have zero probability. Despite affecting a minimal number of interactions, we decided to discard not only the affected interactions, but also the subjects that participated in those interactions. This led to dropping about 6% of the total amount of data that we collected.

* Dictionary *
treatment:			treatment indicator.
verifiable:			= 1 if messages are verifiable, 0 o/w.
rho:				level of commitment in %, {20, 80, 100}.
session:			session identifier.
id:					unique subject identifier.
oid:				unique subject identifier for other subject in a match.
match:				match identifier.
role:				sender or receiver, {S, R}.
color:				= 1 if drawn ball is red, 0 o/w.
rred, rblue,...		First letter indicates ball color. Word that comes next is the color of the message. Indicates probability of that message for that state in commitment stage (in %).
revrred, ...		Same as above for revision stage.
rdec, bdec, ndec	Receiver guess (=1 if red, 0 o/w) when message is red, blue, or when there is no message.
message				-1 (no msg), 0 (blue msg), 1 (red msg).
**************


treatment	verifiable	rho	session	id	oid	match	role	color	rred	rblue	rnone	bred	bblue	bnone	revrred	revrblue	revrnone	revbred	revbblue	revbnone	rdec	bdec	ndec	message
"V20"	1	20	7	120	6	23	"R"	0	100	0	0	0	32	68				0	26	74	1	0	0	-1
"V20"	1	20	7	120	9	24	"R"	0	100	0	0	0	28	72				0	0	100	1	0	0	-1
"V20"	1	20	7	120	7	25	"R"	1	0	0	100	0	70	30	100	0	0				0	0	0	-1
"V20"	1	20	7	121	10	1	"R"	1	75	0	25	0	50	50	100	0	0				1	0	1	1
"V20"	1	20	7	121	11	2	"R"	0	93	0	7	0	80	20				0	50	50	1	0	1	-1
"V20"	1	20	7	121	8	3	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	121	6	4	"R"	0	68	0	32	0	39	61				0	16	84	1	0	0	-1
"V20"	1	20	7	121	9	5	"R"	0	88	0	12	0	50	50				0	18	82	1	0	0	-1
"V20"	1	20	7	121	7	6	"R"	0	0	0	100	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	121	12	7	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	121	15	8	"R"	0	50	0	50	0	50	50				0	50	50	1	0	0	-1
"V20"	1	20	7	121	5	9	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	121	9	10	"R"	1	100	0	0	0	51	49	100	0	0				1	0	0	1
"V20"	1	20	7	121	7	11	"R"	0	51	0	49	0	60	40				0	0	100	1	0	0	-1
"V20"	1	20	7	121	12	12	"R"	1	100	0	0	0	38	62	0	0	100				1	0	0	-1
"V20"	1	20	7	121	15	13	"R"	1	83	0	17	0	50	50	100	0	0				1	0	0	1
"V20"	1	20	7	121	5	14	"R"	0	100	0	0	0	0	100				0	0	100	1	0	1	-1
"V20"	1	20	7	121	10	15	"R"	1	4	0	96	0	66	34	100	0	0				1	0	0	1
"V20"	1	20	7	121	11	16	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	121	8	17	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	121	6	18	"R"	0	99	0	1	0	34	66				0	51	49	1	0	0	0
"V20"	1	20	7	121	7	19	"R"	0	0	0	100	0	70	30				0	0	100	1	0	0	-1
"V20"	1	20	7	121	12	20	"R"	0	100	0	0	0	0	100				0	100	0	1	0	0	-1
"V20"	1	20	7	121	15	21	"R"	0	0	0	100	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	121	5	22	"R"	1	100	0	0	0	74	26	100	0	0				1	0	0	1
"V20"	1	20	7	121	10	23	"R"	0	44	0	56	0	49	51				0	0	100	1	0	0	-1
"V20"	1	20	7	121	11	24	"R"	0	100	0	0	0	0	100				0	97	3	1	0	0	0
"V20"	1	20	7	121	8	25	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	122	6	1	"R"	0	100	0	0	0	49	51				0	51	49	1	0	0	-1
"V20"	1	20	7	122	9	2	"R"	0	89	0	11	0	27	73				0	10	90	1	0	0	0
"V20"	1	20	7	122	7	3	"R"	0	50	0	50	0	50	50				0	50	50	1	0	0	0
"V20"	1	20	7	122	12	4	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	122	15	5	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	122	5	6	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	122	10	7	"R"	0	75	0	25	0	10	90				0	27	73	1	0	0	-1
"V20"	1	20	7	122	11	8	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	122	8	9	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	122	8	10	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	122	6	11	"R"	0	100	0	0	0	1	99				0	0	100	1	0	0	-1
"V20"	1	20	7	122	9	12	"R"	0	100	0	0	0	26	74				0	20	80	1	0	0	-1
"V20"	1	20	7	122	7	13	"R"	0	35	0	65	0	75	25				0	0	100	1	0	0	0
"V20"	1	20	7	122	12	14	"R"	1	0	0	100	0	100	0	27	0	73				1	0	0	-1
"V20"	1	20	7	122	15	15	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	122	5	16	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	122	10	17	"R"	1	23	0	77	0	77	23	100	0	0				1	0	0	1
"V20"	1	20	7	122	11	18	"R"	0	100	0	0	0	0	100				0	19	81	1	0	0	-1
"V20"	1	20	7	122	6	19	"R"	1	100	0	0	0	77	23	100	0	0				1	0	0	1
"V20"	1	20	7	122	9	20	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	122	7	21	"R"	1	0	0	100	0	30	70	100	0	0				1	0	0	1
"V20"	1	20	7	122	12	22	"R"	1	50	0	50	0	51	49	51	0	49				1	0	0	1
"V20"	1	20	7	122	15	23	"R"	0	0	0	100	0	78	22				0	0	100	1	0	0	-1
"V20"	1	20	7	122	5	24	"R"	0	100	0	0	0	74	26				0	0	100	1	0	0	-1
"V20"	1	20	7	122	10	25	"R"	0	20	0	80	0	50	50				0	0	100	1	0	0	-1
"V20"	1	20	7	112	16	1	"S"	0	97	0	3	0	6	94				0	11	89	1	0	0	-1
"V20"	1	20	7	112	3	2	"S"	0	93	0	7	0	80	20				0	50	50	1	0	1	-1
"V20"	1	20	7	112	18	3	"S"	1	10	0	90	0	7	93	100	0	0				1	0	0	1
"V20"	1	20	7	112	14	4	"S"	0	94	0	6	0	4	96				0	0	100	1	0	0	-1
"V20"	1	20	7	112	2	5	"S"	1	18	0	82	0	25	75	100	0	0				0	0	0	-1
"V20"	1	20	7	112	13	6	"S"	0	14	0	86	0	9	91				0	0	100	1	0	0	-1
"V20"	1	20	7	112	17	7	"S"	0	93	0	7	0	5	95				0	0	100	1	0	0	-1
"V20"	1	20	7	112	4	8	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	1	9	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	14	10	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	17	11	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	18	12	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	13	13	"S"	0	100	0	0	0	0	100				0	50	50	1	0	0	0
"V20"	1	20	7	112	16	14	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	1	15	"S"	0	100	0	0	0	0	100				0	23	77	1	0	0	-1
"V20"	1	20	7	112	3	16	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	2	17	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	112	4	18	"S"	0	100	0	0	0	0	100				0	19	81	1	0	0	-1
"V20"	1	20	7	112	14	19	"S"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	112	17	20	"S"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
