* Dictionary *
session: Unique session identifier, From 1 to 3.
round: Number of round. 18 Rounds per session.
stage: Number of stage within round. An additional stage is required if the group did not reach an agreement in the previous stage.
group: Group each subject belongs to.
id: Unique subject identifier (identifies subject across sessions) >= 1
delta: discount value. Could be 0, 0.2, 0.4, 0.6, 0.8 or 1. For one of the 3 blocks of 6 rounds in the experiment the values of delta are randomly chosen.
budget: Total budget to be allocated.
budget_next: budget to be allocated next stage if proposal fails
subject: number of the subject within a group: from 1 to 3.
b1 b2 b3: proposals as submitted by subjets. b1 is the amount allocated to subject with subject number 1 and so on.
sb1, sb2, sb3: share proposed, = bX/money available, [0,1].
computer: whether the proposer will be replaced by a computer (takes value 1) or not (takes value 0)
choice: if the computer makes a proposal choice codifies the type of proposal to be made.
   1: Egalitarian,
   2: Baron and Ferejohn SPE,
   3: Quasi BF. Proposer gets something between BF and egalitarian. Another member gets the difference,
   4: Non Minimum Winning coalition Proposer gets something between BF and half of the budget.
      Another two member split the difference equally,
   5: totally random
proposer: 1 if subject is the proposer, 0 otherwise.
p1 p2 p3: proposal submitted for voting. p1 is the amount allocated to subject with subject number 1 and so on.
sp1, sp2, sp3: share voted on, pX/money available, [0,1].
belief: answer to how likely do you think it is that the proposal comes from a computer? (-1 if Round is 6 or less, between 0 and 100 for Rounds 7 onwards) (Only for Stage 1, Stage 2 onwards equals -1)
vote: 1 if subject voted in favor, 0 if voted against
pass: 1 if proposal received a simple majority of votes
profit: profit made by the subject in the stage.
s_floor: share the subject is offered in the proposal on the floor, [0,1]
prop_s_floor: share to the proposer in the proposal on the floor, [0,1]
prop_s: share a subject offered for himself, [0,1]
high_s: highest offered share excluding the proposer, [0,1]
low_s: lowest offered share excluding the proposer, [0,1]
high_s_floor: highest offered share on the floor excluding the proposer, [0,1]
low_s_floor: lowest offered share on the floor excluding the proposer, [0,1]
mwc: = 1 if subject offered a MWC, 0 o/w.
mwc_floor: = 1 if proposal on the floor is a MWC, 0 o/w.
rmwc: = 1 if subject offered a Relaxed MWC, excluded member gets 10% of budget or less
rmwc_floor: = 1 if proposal on the floor is a Relaxed MWC, excluded member gets 10% of budget or less
equal = 1 if budget divided equally among members
**************

session,round,stage,group,id,subject,delta,budget,budget_next,b1,b2,b3,sb1,sb2,sb3,computer,choice,proposer,p1,p2,p3,sp1,sp2,sp3,belief,vote,pass,profit,s_floor,prop_s_floor,prop_s,high_s,low_s,mwc,mwc_floor,rmwc,rmwc_floor,high_s_floor,low_s_floor,equal
101220_1256,14,1,3,36,3,.60000002,30,18,9,6,15,.30000001,.2,.5,0,1,1,9,6,15,.30000001,.2,.5,.15000001,1,1,15,.5,.5,.5,.30000001,.2,0,0,0,0,.30000001,.2,0
101220_1256,14,1,4,41,1,.60000002,30,18,18,12,0,.60000002,.40000001,0,1,1,0,10,10,10,.33333334,.33333334,.33333334,.28,1,1,10,.33333334,.33333334,.60000002,.40000001,0,1,0,1,0,.33333334,.33333334,0
101220_1256,14,1,4,32,2,.60000002,30,18,8,22,0,.26666668,.73333335,0,1,1,0,10,10,10,.33333334,.33333334,.33333334,.89999998,1,1,10,.33333334,.33333334,.73333335,.26666668,0,1,0,1,0,.33333334,.33333334,0
101220_1256,14,1,4,37,3,.60000002,30,18,8,10,12,.26666668,.33333334,.40000001,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.40000001,.33333334,.26666668,0,0,0,0,.33333334,.33333334,0
101220_1256,14,2,2,38,1,.60000002,18,10.8,9,5,4,.5,.27777779,.22222222,0,5,1,9,5,4,.5,.27777779,.22222222,-1,1,1,9,.5,.5,.5,.27777779,.22222222,0,0,0,0,.27777779,.22222222,0
101220_1256,14,2,2,42,2,.60000002,18,10.8,6,6,6,.33333334,.33333334,.33333334,0,5,0,9,5,4,.5,.27777779,.22222222,-1,1,1,5,.27777779,.5,.33333334,.33333334,.33333334,0,0,0,0,.27777779,.22222222,1
101220_1256,14,2,2,33,3,.60000002,18,10.8,8,0,10,.44444445,0,.55555558,0,5,0,9,5,4,.5,.27777779,.22222222,-1,0,1,4,.22222222,.5,.55555558,.44444445,0,1,0,1,0,.27777779,.22222222,0
101220_1256,15,1,1,37,1,.80000001,30,24,12,8,10,.40000001,.26666668,.33333334,1,3,0,0,16.5,13.5,0,.55000001,.44999999,.99000001,0,1,0,0,.55000001,.40000001,.33333334,.26666668,0,1,0,1,.44999999,0,0
101220_1256,15,1,1,34,2,.80000001,30,24,12,18,0,.40000001,.60000002,0,1,3,1,0,16.5,13.5,0,.55000001,.44999999,-1,1,1,16.5,.55000001,.55000001,.60000002,.40000001,0,1,1,1,1,.44999999,0,0
101220_1256,15,1,1,38,3,.80000001,30,24,8,8,14,.26666668,.26666668,.46666667,1,3,0,0,16.5,13.5,0,.55000001,.44999999,.30000001,1,1,13.5,.44999999,.55000001,.46666667,.26666668,.26666668,0,1,0,1,.44999999,0,0
101220_1256,15,1,2,33,1,.80000001,30,24,15,10,5,.5,.33333334,.16666667,0,3,0,13,17,0,.43333334,.56666666,0,.5,1,1,13,.43333334,.56666666,.5,.33333334,.16666667,0,1,0,1,.43333334,0,0
101220_1256,15,1,2,41,2,.80000001,30,24,13,17,0,.43333334,.56666666,0,0,3,1,13,17,0,.43333334,.56666666,0,.0099999998,1,1,17,.56666666,.56666666,.56666666,.43333334,0,1,1,1,1,.43333334,0,0
101220_1256,15,1,2,40,3,.80000001,30,24,12,0,18,.40000001,0,.60000002,0,3,0,13,17,0,.43333334,.56666666,0,.33000001,0,1,0,0,.56666666,.60000002,.40000001,0,1,1,1,1,.43333334,0,0
101220_1256,15,1,3,35,1,.80000001,30,24,18,0,12,.60000002,0,.40000001,1,3,0,0,18.200001,11.8,0,.60666668,.39333335,.40000001,0,1,0,0,.60666668,.60000002,.40000001,0,1,1,1,1,.39333335,0,0
101220_1256,15,1,3,32,2,.80000001,30,24,10,20,0,.33333334,.66666669,0,1,3,1,0,18.200001,11.8,0,.60666668,.39333335,-1,1,1,18.200001,.60666668,.60666668,.66666669,.33333334,0,1,1,1,1,.39333335,0,0
101220_1256,15,1,3,31,3,.80000001,30,24,7,0,23,.23333333,0,.76666665,1,3,0,0,18.200001,11.8,0,.60666668,.39333335,.2,1,1,11.8,.39333335,.60666668,.76666665,.23333333,0,1,1,1,1,.39333335,0,0
101220_1256,15,1,4,39,1,.80000001,30,24,20,10,0,.66666669,.33333334,0,0,4,0,10,11,9,.33333334,.36666667,.30000001,.40000001,1,1,10,.33333334,.36666667,.66666669,.33333334,0,1,0,1,0,.33333334,.30000001,0
101220_1256,15,1,4,42,2,.80000001,30,24,10,11,9,.33333334,.36666667,.30000001,0,4,1,10,11,9,.33333334,.36666667,.30000001,.15000001,1,1,11,.36666667,.36666667,.36666667,.33333334,.30000001,0,0,0,0,.33333334,.30000001,0
101220_1256,15,1,4,36,3,.80000001,30,24,9,6,15,.30000001,.2,.5,0,4,0,10,11,9,.33333334,.36666667,.30000001,.63,1,1,9,.30000001,.36666667,.5,.30000001,.2,0,0,0,0,.33333334,.30000001,0
101220_1256,16,1,1,36,1,.40000001,30,12,16,8,6,.53333336,.26666668,.2,1,4,0,5.1999998,19.5,5.3000002,.17333333,.64999998,.17666668,.16,1,1,5.1999998,.17333333,.64999998,.53333336,.26666668,.2,0,0,0,0,.17666668,.17333333,0
101220_1256,16,1,1,38,2,.40000001,30,12,8,14,8,.26666668,.46666667,.26666668,1,4,1,5.1999998,19.5,5.3000002,.17333333,.64999998,.17666668,-1,1,1,19.5,.64999998,.64999998,.46666667,.26666668,.26666668,0,0,0,0,.17666668,.17333333,0
101220_1256,16,1,1,32,3,.40000001,30,12,8,0,22,.26666668,0,.73333335,1,4,0,5.1999998,19.5,5.3000002,.17333333,.64999998,.17666668,.89999998,0,1,5.3000002,.17666668,.64999998,.73333335,.26666668,0,1,0,1,0,.17666668,.17333333,0
101220_1256,16,1,2,40,1,.40000001,30,12,18,12,0,.60000002,.40000001,0,0,3,0,7.5,21.5,1,.25,.71666664,.033333335,.55000001,1,1,7.5,.25,.71666664,.60000002,.40000001,0,1,0,1,1,.25,.033333335,0
101220_1256,16,1,2,31,2,.40000001,30,12,7.5,21.5,1,.25,.71666664,.033333335,0,3,1,7.5,21.5,1,.25,.71666664,.033333335,0,1,1,21.5,.71666664,.71666664,.71666664,.25,.033333335,0,0,1,1,.25,.033333335,0
101220_1256,16,1,2,42,3,.40000001,30,12,10,9,11,.33333334,.30000001,.36666667,0,3,0,7.5,21.5,1,.25,.71666664,.033333335,.77999997,0,1,1,.033333335,.71666664,.36666667,.33333334,.30000001,0,0,0,1,.25,.033333335,0
101220_1256,16,1,3,35,1,.40000001,30,12,18,12,0,.60000002,.40000001,0,1,2,0,0,26,4,0,.86666667,.13333334,.5,0,0,0,0,.86666667,.60000002,.40000001,0,1,1,1,1,.13333334,0,0
101220_1256,16,1,3,39,2,.40000001,30,12,10,20,0,.33333334,.66666669,0,1,2,1,0,26,4,0,.86666667,.13333334,-1,1,0,0,.86666667,.86666667,.66666669,.33333334,0,1,1,1,1,.13333334,0,0
101220_1256,16,1,3,41,3,.40000001,30,12,12,0,18,.40000001,0,.60000002,1,2,0,0,26,4,0,.86666667,.13333334,.41999999,0,0,0,.13333334,.86666667,.60000002,.40000001,0,1,1,1,1,.13333334,0,0
101220_1256,16,1,4,37,1,.40000001,30,12,12,8,10,.40000001,.26666668,.33333334,1,5,0,21.4,2,6.5999999,.71333331,.06666667,.22,.99000001,1,1,21.4,.71333331,.06666667,.40000001,.33333334,.26666668,0,0,0,1,.71333331,.22,0
101220_1256,16,1,4,33,2,.40000001,30,12,10,15,5,.33333334,.5,.16666667,1,5,1,21.4,2,6.5999999,.71333331,.06666667,.22,-1,1,1,2,.06666667,.06666667,.5,.33333334,.16666667,0,0,0,1,.71333331,.22,0
101220_1256,16,1,4,34,3,.40000001,30,12,6,0,24,.2,0,.80000001,1,5,0,21.4,2,6.5999999,.71333331,.06666667,.22,.94999999,0,1,6.5999999,.22,.06666667,.80000001,.2,0,1,0,1,1,.71333331,.22,0
101220_1256,16,2,3,35,1,.40000001,12,4.8000002,8,4,0,.66666669,.33333334,0,0,3,1,8,4,0,.66666669,.33333334,0,-1,1,1,8,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101220_1256,16,2,3,39,2,.40000001,12,4.8000002,4,4,4,.33333334,.33333334,.33333334,0,3,0,8,4,0,.66666669,.33333334,0,-1,1,1,4,.33333334,.66666669,.33333334,.33333334,.33333334,0,1,0,1,.33333334,0,1
101220_1256,16,2,3,41,3,.40000001,12,4.8000002,4,0,8,.33333334,0,.66666669,0,3,0,8,4,0,.66666669,.33333334,0,-1,0,1,0,0,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101220_1256,17,1,1,41,1,1,30,30,15,15,0,.5,.5,0,1,4,1,17.299999,6.3000002,6.4000001,.57666665,.21000001,.21333334,-1,1,0,0,.57666665,.57666665,.5,.5,0,1,0,1,0,.21333334,.21000001,0
101220_1256,17,1,1,39,2,1,30,30,10,20,0,.33333334,.66666669,0,1,4,0,17.299999,6.3000002,6.4000001,.57666665,.21000001,.21333334,.80000001,0,0,0,.21000001,.57666665,.66666669,.33333334,0,1,0,1,0,.21333334,.21000001,0
101220_1256,17,1,1,35,3,1,30,30,0,12,18,0,.40000001,.60000002,1,4,0,17.299999,6.3000002,6.4000001,.57666665,.21000001,.21333334,.75,0,0,0,.21333334,.57666665,.60000002,.40000001,0,1,0,1,0,.21333334,.21000001,0
101220_1256,17,1,2,34,1,1,30,30,26,4,0,.86666667,.13333334,0,0,3,1,26,4,0,.86666667,.13333334,0,.0099999998,1,0,0,.86666667,.86666667,.86666667,.13333334,0,1,1,1,1,.13333334,0,0
101220_1256,17,1,2,38,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,3,0,26,4,0,.86666667,.13333334,0,.5,0,0,0,.13333334,.86666667,.33333334,.33333334,.33333334,0,1,0,1,.13333334,0,1
101220_1256,17,1,2,37,3,1,30,30,8,10,12,.26666668,.33333334,.40000001,0,3,0,26,4,0,.86666667,.13333334,0,.99000001,0,0,0,0,.86666667,.40000001,.33333334,.26666668,0,1,0,1,.13333334,0,0
101220_1256,17,1,3,40,1,1,30,30,18,12,0,.60000002,.40000001,0,0,4,1,18,12,0,.60000002,.40000001,0,.43000001,1,1,18,.60000002,.60000002,.60000002,.40000001,0,1,1,1,1,.40000001,0,0
101220_1256,17,1,3,32,2,1,30,30,10,20,0,.33333334,.66666669,0,0,4,0,18,12,0,.60000002,.40000001,0,.75,1,1,12,.40000001,.60000002,.66666669,.33333334,0,1,1,1,1,.40000001,0,0
101220_1256,17,1,3,33,3,1,30,30,10,5,15,.33333334,.16666667,.5,0,4,0,18,12,0,.60000002,.40000001,0,.5,0,1,0,0,.60000002,.5,.33333334,.16666667,0,1,0,1,.40000001,0,0
101220_1256,17,1,4,42,1,1,30,30,11,10,9,.36666667,.33333334,.30000001,1,5,1,25.299999,3,1.7,.8433333,.1,.056666669,-1,1,0,0,.8433333,.8433333,.36666667,.33333334,.30000001,0,0,0,1,.1,.056666669,0
101220_1256,17,1,4,31,2,1,30,30,13.5,15.5,1,.44999999,.51666665,.033333335,1,5,0,25.299999,3,1.7,.8433333,.1,.056666669,.75,0,0,0,.1,.8433333,.51666665,.44999999,.033333335,0,0,1,1,.1,.056666669,0
101220_1256,17,1,4,36,3,1,30,30,8,6,16,.26666668,.2,.53333336,1,5,0,25.299999,3,1.7,.8433333,.1,.056666669,.56,0,0,0,.056666669,.8433333,.53333336,.26666668,.2,0,0,0,1,.1,.056666669,0
101220_1256,17,2,1,41,1,1,30,30,15,15,0,.5,.5,0,0,1,0,10,20,0,.33333334,.66666669,0,-1,0,0,0,.33333334,.66666669,.5,.5,0,1,1,1,1,.33333334,0,0
101220_1256,17,2,1,39,2,1,30,30,10,20,0,.33333334,.66666669,0,0,1,1,10,20,0,.33333334,.66666669,0,-1,1,0,0,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101220_1256,17,2,1,35,3,1,30,30,0,12,18,0,.40000001,.60000002,0,1,0,10,20,0,.33333334,.66666669,0,-1,0,0,0,0,.66666669,.60000002,.40000001,0,1,1,1,1,.33333334,0,0
101220_1256,17,2,2,34,1,1,30,30,24,6,0,.80000001,.2,0,0,2,0,10,20,0,.33333334,.66666669,0,-1,0,0,0,.33333334,.66666669,.80000001,.2,0,1,1,1,1,.33333334,0,0
101220_1256,17,2,2,38,2,1,30,30,10,20,0,.33333334,.66666669,0,0,2,1,10,20,0,.33333334,.66666669,0,-1,1,0,0,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101220_1256,17,2,2,37,3,1,30,30,8,10,12,.26666668,.33333334,.40000001,0,2,0,10,20,0,.33333334,.66666669,0,-1,0,0,0,0,.66666669,.40000001,.33333334,.26666668,0,1,0,1,.33333334,0,0
101220_1256,17,2,4,42,1,1,30,30,11,10,9,.36666667,.33333334,.30000001,0,3,0,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.36666667,.33333334,.30000001,0,1,0,1,.5,0,0
101220_1256,17,2,4,31,2,1,30,30,15,15,0,.5,.5,0,0,3,1,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101220_1256,17,2,4,36,3,1,30,30,8,6,16,.26666668,.2,.53333336,0,3,0,15,15,0,.5,.5,0,-1,0,1,0,0,.5,.53333336,.26666668,.2,0,1,0,1,.5,0,0
101220_1256,17,3,1,41,1,1,30,30,15,15,0,.5,.5,0,0,4,1,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101220_1256,17,3,1,39,2,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,4,0,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.33333334,.33333334,.33333334,0,1,0,1,.5,0,1
101220_1256,17,3,1,35,3,1,30,30,12,0,18,.40000001,0,.60000002,0,4,0,15,15,0,.5,.5,0,-1,0,1,0,0,.5,.60000002,.40000001,0,1,1,1,1,.5,0,0
101220_1256,17,3,2,34,1,1,30,30,23,7,0,.76666665,.23333333,0,0,2,1,23,7,0,.76666665,.23333333,0,-1,1,0,0,.76666665,.76666665,.76666665,.23333333,0,1,1,1,1,.23333333,0,0
101220_1256,17,3,2,38,2,1,30,30,14,16,0,.46666667,.53333336,0,0,2,0,23,7,0,.76666665,.23333333,0,-1,0,0,0,.23333333,.76666665,.53333336,.46666667,0,1,1,1,1,.23333333,0,0
101220_1256,17,3,2,37,3,1,30,30,8,10,12,.26666668,.33333334,.40000001,0,2,0,23,7,0,.76666665,.23333333,0,-1,0,0,0,0,.76666665,.40000001,.33333334,.26666668,0,1,0,1,.23333333,0,0
101220_1256,17,4,2,34,1,1,30,30,21,9,0,.69999999,.30000001,0,0,4,0,8,10,12,.26666668,.33333334,.40000001,-1,1,1,8,.26666668,.40000001,.69999999,.30000001,0,1,0,1,0,.33333334,.26666668,0
101220_1256,17,4,2,38,2,1,30,30,15,15,0,.5,.5,0,0,4,0,8,10,12,.26666668,.33333334,.40000001,-1,1,1,10,.33333334,.40000001,.5,.5,0,1,0,1,0,.33333334,.26666668,0
101220_1256,17,4,2,37,3,1,30,30,8,10,12,.26666668,.33333334,.40000001,0,4,1,8,10,12,.26666668,.33333334,.40000001,-1,1,1,12,.40000001,.40000001,.40000001,.33333334,.26666668,0,0,0,0,.33333334,.26666668,0
101220_1256,18,1,1,35,1,0,30,0,18,12,0,.60000002,.40000001,0,0,4,1,18,12,0,.60000002,.40000001,0,0,1,1,18,.60000002,.60000002,.60000002,.40000001,0,1,1,1,1,.40000001,0,0
101220_1256,18,1,1,31,2,0,30,0,0,24,6,0,.80000001,.2,0,4,0,18,12,0,.60000002,.40000001,0,.15000001,1,1,12,.40000001,.60000002,.80000001,.2,0,1,1,1,1,.40000001,0,0
101220_1256,18,1,1,42,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,4,0,18,12,0,.60000002,.40000001,0,.40000001,0,1,0,0,.60000002,.33333334,.33333334,.33333334,0,1,0,1,.40000001,0,1
101220_1256,18,1,2,33,1,0,30,0,15,10,5,.5,.33333334,.16666667,1,3,1,21,9,0,.69999999,.30000001,0,-1,1,1,21,.69999999,.69999999,.5,.33333334,.16666667,0,1,0,1,.30000001,0,0
101220_1256,18,1,2,37,2,0,30,0,8,12,10,.26666668,.40000001,.33333334,1,3,0,21,9,0,.69999999,.30000001,0,.029999999,1,1,9,.30000001,.69999999,.40000001,.33333334,.26666668,0,1,0,1,.30000001,0,0
101220_1256,18,1,2,34,3,0,30,0,5,0,25,.16666667,0,.83333331,1,3,0,21,9,0,.69999999,.30000001,0,.079999998,0,1,0,0,.69999999,.83333331,.16666667,0,1,1,1,1,.30000001,0,0
101220_1256,18,1,3,39,1,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,3,1,10,10,10,.33333334,.33333334,.33333334,0,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
101220_1256,18,1,3,36,2,0,30,0,8,16,6,.26666668,.53333336,.2,0,3,0,10,10,10,.33333334,.33333334,.33333334,.43000001,1,1,10,.33333334,.33333334,.53333336,.26666668,.2,0,0,0,0,.33333334,.33333334,0
101220_1256,18,1,3,32,3,0,30,0,10,0,20,.33333334,0,.66666669,0,3,0,10,10,10,.33333334,.33333334,.33333334,.85000002,0,1,10,.33333334,.33333334,.66666669,.33333334,0,1,0,1,0,.33333334,.33333334,0
101220_1256,18,1,4,38,1,0,30,0,13,8.5,8.5,.43333334,.28333333,.28333333,1,3,1,22.4,7.5999999,0,.74666667,.25333333,0,-1,1,1,22.4,.74666667,.74666667,.43333334,.28333333,.28333333,0,1,0,1,.25333333,0,0
101220_1256,18,1,4,40,2,0,30,0,12,18,0,.40000001,.60000002,0,1,3,0,22.4,7.5999999,0,.74666667,.25333333,0,.23,1,1,7.5999999,.25333333,.74666667,.60000002,.40000001,0,1,1,1,1,.25333333,0,0
101220_1256,18,1,4,41,3,0,30,0,12,0,18,.40000001,0,.60000002,1,3,0,22.4,7.5999999,0,.74666667,.25333333,0,.67000002,0,1,0,0,.74666667,.60000002,.40000001,0,1,1,1,1,.25333333,0,0
110510_1250,1,1,1,54,1,.60000002,30,18,12,8,10,.40000001,.26666668,.33333334,1,3,0,0,19.200001,10.8,0,.64000005,.36000001,-1,0,1,0,0,.64000005,.40000001,.33333334,.26666668,0,1,0,1,.36000001,0,0
110510_1250,1,1,1,52,2,.60000002,30,18,5,15,10,.16666667,.5,.33333334,1,3,1,0,19.200001,10.8,0,.64000005,.36000001,-1,1,1,19.200001,.64000005,.64000005,.5,.33333334,.16666667,0,1,0,1,.36000001,0,0
110510_1250,1,1,1,47,3,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,3,0,0,19.200001,10.8,0,.64000005,.36000001,-1,1,1,10.8,.36000001,.64000005,.33333334,.33333334,.33333334,0,1,0,1,.36000001,0,1
110510_1250,1,1,2,46,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,2,0,0,24,6,0,.80000001,.2,-1,0,1,0,0,.80000001,.33333334,.33333334,.33333334,0,1,0,1,.2,0,1
110510_1250,1,1,2,48,2,.60000002,30,18,9,12,9,.30000001,.40000001,.30000001,1,2,1,0,24,6,0,.80000001,.2,-1,1,1,24,.80000001,.80000001,.40000001,.30000001,.30000001,0,1,0,1,.2,0,0
110510_1250,1,1,2,44,3,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,2,0,0,24,6,0,.80000001,.2,-1,1,1,6,.2,.80000001,.33333334,.33333334,.33333334,0,1,0,1,.2,0,1
110510_1250,1,1,3,53,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,5,0,23,4,3,.76666665,.13333334,.1,-1,1,1,23,.76666665,.13333334,.33333334,.33333334,.33333334,0,0,0,1,.76666665,.1,1
110510_1250,1,1,3,51,2,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,5,1,23,4,3,.76666665,.13333334,.1,-1,1,1,4,.13333334,.13333334,.33333334,.33333334,.33333334,0,0,0,1,.76666665,.1,1
110510_1250,1,1,3,50,3,.60000002,30,18,10,8,12,.33333334,.26666668,.40000001,1,5,0,23,4,3,.76666665,.13333334,.1,-1,0,1,3,.1,.13333334,.40000001,.33333334,.26666668,0,0,0,1,.76666665,.1,0
110510_1250,1,1,4,45,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,3,0,7,15,8,.23333333,.5,.26666668,-1,1,1,7,.23333333,.5,.33333334,.33333334,.33333334,0,0,0,0,.26666668,.23333333,1
110510_1250,1,1,4,43,2,.60000002,30,18,7,15,8,.23333333,.5,.26666668,0,3,1,7,15,8,.23333333,.5,.26666668,-1,1,1,15,.5,.5,.5,.26666668,.23333333,0,0,0,0,.26666668,.23333333,0
110510_1250,1,1,4,49,3,.60000002,30,18,5,5,20,.16666667,.16666667,.66666669,0,3,0,7,15,8,.23333333,.5,.26666668,-1,1,1,8,.26666668,.5,.66666669,.16666667,.16666667,0,0,0,0,.26666668,.23333333,0
110510_1250,2,1,1,48,1,.40000001,30,12,12,9,9,.40000001,.30000001,.30000001,0,4,1,12,9,9,.40000001,.30000001,.30000001,-1,1,1,12,.40000001,.40000001,.40000001,.30000001,.30000001,0,0,0,0,.30000001,.30000001,0
110510_1250,2,1,1,47,2,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,0,4,0,12,9,9,.40000001,.30000001,.30000001,-1,1,1,9,.30000001,.40000001,.33333334,.33333334,.33333334,0,0,0,0,.30000001,.30000001,1
110510_1250,2,1,1,45,3,.40000001,30,12,10,0,20,.33333334,0,.66666669,0,4,0,12,9,9,.40000001,.30000001,.30000001,-1,1,1,9,.30000001,.40000001,.66666669,.33333334,0,1,0,1,0,.30000001,.30000001,0
110510_1250,2,1,2,50,1,.40000001,30,12,8,11,11,.26666668,.36666667,.36666667,1,3,1,17.799999,12.2,0,.5933333,.40666667,0,-1,1,1,17.799999,.5933333,.5933333,.26666668,.36666667,.36666667,0,1,0,1,.40666667,0,0
110510_1250,2,1,2,54,2,.40000001,30,12,2,18,10,.06666667,.60000002,.33333334,1,3,0,17.799999,12.2,0,.5933333,.40666667,0,-1,1,1,12.2,.40666667,.5933333,.60000002,.33333334,.06666667,0,1,1,1,.40666667,0,0
110510_1250,2,1,2,46,3,.40000001,30,12,2,14,14,.06666667,.46666667,.46666667,1,3,0,17.799999,12.2,0,.5933333,.40666667,0,-1,0,1,0,0,.5933333,.46666667,.46666667,.06666667,0,1,1,1,.40666667,0,0
110510_1250,2,1,3,49,1,.40000001,30,12,25,2,3,.83333331,.06666667,.1,1,5,1,24.9,0,5.0999999,.82999998,0,.17,-1,1,1,24.9,.82999998,.82999998,.83333331,.1,.06666667,0,1,1,1,.17,0,0
110510_1250,2,1,3,44,2,.40000001,30,12,10,20,0,.33333334,.66666669,0,1,5,0,24.9,0,5.0999999,.82999998,0,.17,-1,0,1,0,0,.82999998,.66666669,.33333334,0,1,1,1,1,.17,0,0
110510_1250,2,1,3,51,3,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,5,0,24.9,0,5.0999999,.82999998,0,.17,-1,1,1,5.0999999,.17,.82999998,.33333334,.33333334,.33333334,0,1,0,1,.17,0,1
110510_1250,2,1,4,53,1,.40000001,30,12,18,7,5,.60000002,.23333333,.16666667,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.60000002,.23333333,.16666667,0,0,0,0,.33333334,.33333334,0
110510_1250,2,1,4,52,2,.40000001,30,12,5,20,5,.16666667,.66666669,.16666667,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.66666669,.16666667,.16666667,0,0,0,0,.33333334,.33333334,0
110510_1250,2,1,4,43,3,.40000001,30,12,8,7,15,.26666668,.23333333,.5,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.26666668,.23333333,0,0,0,0,.33333334,.33333334,0
110510_1250,3,1,1,43,1,.80000001,30,24,15,7,8,.5,.23333333,.26666668,0,3,0,10,0,20,.33333334,0,.66666669,-1,1,1,10,.33333334,.66666669,.5,.26666668,.23333333,0,1,0,1,.33333334,0,0
110510_1250,3,1,1,48,2,.80000001,30,24,9,12,9,.30000001,.40000001,.30000001,0,3,0,10,0,20,.33333334,0,.66666669,-1,1,1,0,0,.66666669,.40000001,.30000001,.30000001,0,1,0,1,.33333334,0,0
110510_1250,3,1,1,54,3,.80000001,30,24,10,0,20,.33333334,0,.66666669,0,3,1,10,0,20,.33333334,0,.66666669,-1,1,1,20,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
110510_1250,3,1,2,51,1,.80000001,30,24,12,9,9,.40000001,.30000001,.30000001,1,3,0,12.4,0,17.6,.41333333,0,.5866667,-1,1,1,12.4,.41333333,.5866667,.40000001,.30000001,.30000001,0,1,0,1,.41333333,0,0
110510_1250,3,1,2,47,2,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,1,3,0,12.4,0,17.6,.41333333,0,.5866667,-1,1,1,0,0,.5866667,.33333334,.33333334,.33333334,0,1,0,1,.41333333,0,1
110510_1250,3,1,2,50,3,.80000001,30,24,8,8,14,.26666668,.26666668,.46666667,1,3,1,12.4,0,17.6,.41333333,0,.5866667,-1,1,1,17.6,.5866667,.5866667,.46666667,.26666668,.26666668,0,1,0,1,.41333333,0,0
