* Dictionary *
paper:      paper #, labelled with authors and year
session:    session #
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
coop:       = 1 if subject cooperated, = 0 o/w
order:		for experiments with within subjects design this number indicates the order of the treatments
**************/

paper	session	id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	coop	order
"Dal Bo (2005)"	11100	11115	11129	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11116	11106	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11116	11105	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11116	11104	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11116	11103	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11116	11102	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11117	11107	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11117	11106	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11117	11105	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11117	11104	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11117	11103	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11118	11108	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11118	11107	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11118	11106	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11118	11105	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11118	11104	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11119	11109	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11119	11108	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11119	11107	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11119	11106	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11119	11105	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11120	11110	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11120	11109	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11120	11108	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11120	11107	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11120	11106	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11121	11111	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11121	11110	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11121	11109	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11121	11108	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11121	11107	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11122	11112	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11122	11111	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11122	11110	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11122	11109	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11122	11108	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11123	11113	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11123	11112	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11123	11111	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11123	11110	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11123	11109	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11124	11114	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11124	11113	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11124	11112	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11124	11111	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11124	11110	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11125	11115	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11125	11114	12	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11125	11113	13	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11125	11112	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11125	11111	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11126	11101	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11126	11115	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11126	11114	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11126	11113	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11126	11112	15	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11127	11102	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
