* Dictionary *
score1997:		percentage of votes in the second round of the 1997 elections
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	party	district	score1997	male	male_opp
"JUPPE"	"ALAIN"	"RPR"	"33//2"	.539934	1	1
"SAVARY"	"GILLES"	"SOC"	"33//2"	.460066	1	1
"LACUEY"	"CONCHITA"	"SOC"	"33//4"	.6370689	0	1
"FAVROUL"	"JEAN PIERRE"	"RPR"	"33//4"	.3629312	1	0
"BRANA"	"PIERRE"	"SOC"	"33//5"	.5488832	1	1
"PINTAT"	"XAVIER"	"UDF"	"33//5"	.4511168	1	1
"SAINTE MARIE"	"MICHEL"	"SOC"	"33//6"	.5574654	1	1
"FAVRE"	"PIERRE"	"UDF"	"33//6"	.4425346	1	1
"DUFRANC"	"MICHEL"	"RPR"	"33//7"	.3932176	1	1
"DUCOUT"	"PIERRE"	"SOC"	"33//7"	.6067824	1	1
"DELUGA"	"FRANCOIS"	"SOC"	"33//8"	.5193527	1	1
"CAZALET"	"ROBERT"	"UDF"	"33//8"	.4806472	1	1
"TRUPIN"	"ODETTE"	"SOC"	"33//9"	.5586218	0	1
"DUBOURG"	"PHILIPPE"	"RPR"	"33//9"	.4413782	1	0
"SERROU"	"BERNARD"	"RPR"	"34//2"	.4624073	1	1
"FRECHE"	"GEORGES"	"SOC"	"34//2"	.5375927	1	1
"NAYRAL"	"BERNARD"	"SOC"	"34//5"	.5804977	1	1
"ROQUES"	"MARCEL"	"UDF"	"34//5"	.4195023	1	1
"BOUCHERON"	"JEAN MICHEL"	"SOC"	"35//1"	.6337924	1	1
"DAGORN"	"JEAN PIERRE"	"UDF"	"35//1"	.3662076	1	1
"HERVE"	"EDMOND"	"SOC"	"35//2"	.5487769	1	1
"JACOB"	"YVON"	"RPR"	"35//2"	.4512232	1	1
"POURCHET"	"GERARD"	"UDF"	"35//3"	.4619403	1	1
"ROGEMONT"	"MARCEL"	"SOC"	"35//3"	.5380597	1	1
"MADELIN"	"ALAIN"	"UDF"	"35//4"	.5514581	1	0
"BOURGES"	"SIMONE"	"SOC"	"35//4"	.4485419	0	1
"THEAUDIN"	"CLEMENT"	"SOC"	"35//6"	.4420983	1	0
"BOISSEAU"	"MARIE THERESE"	"UDF"	"35//6"	.5579017	0	1
"THOMAS"	"ISABELLE"	"SOC"	"35//7"	.4607145	0	1
"COUANAU"	"RENE"	"UDF"	"35//7"	.5392855	1	0
"GATEAUD"	"JEAN YVES"	"PRG"	"36//1"	.5314837	1	1
"BLONDEAU"	"MICHEL"	"UDF"	"36//1"	.4685164	1	1
"LAIGNEL"	"ANDRE"	"PRG"	"36//2"	.4956748	1	1
"FORISSIER"	"NICOLAS"	"UDF"	"36//2"	.5043252	1	1
"CHANTEGUET"	"JEAN PAUL"	"PRG"	"36//3"	.5574335	1	1
"CHABOT"	"RENE"	"RPR"	"36//3"	.4425665	1	1
"GILLE"	"JEAN PATRICK"	"SOC"	"37//1"	.4892121	1	1
"DONNEDIEU DE VABRES"	"RENAUD"	"UDF"	"37//1"	.5107879	1	1
"DEBRE"	"BERNARD"	"RPR"	"37//2"	.4755724	1	1
"FILLEUL"	"JEAN JACQUES"	"SOC"	"37//2"	.5244276	1	1
"DESCAMPS"	"JEAN JACQUES"	"UDF"	"37//3"	.4651468	1	0
"TOURAINE"	"MARISOL"	"SOC"	"37//3"	.5348532	0	1
"NOVELLI"	"HERVE"	"UDF"	"37//4"	.4915333	1	1
"DAUGE"	"YVES"	"SOC"	"37//4"	.5084667	1	1
"ROIRON"	"CLAUDE"	"SOC"	"37//5"	.4956926	1	1
"BRIAND"	"PHILIPPE"	"RPR"	"37//5"	.5043074	1	1
"DESCHAMPS"	"ANNIE"	"PRG"	"38//1"	.4688094	0	1
"CAZENAVE"	"RICHARD"	"RPR"	"38//1"	.5311906	1	0
"DESTOT"	"MICHEL"	"SOC"	"38//3"	.6193389	1	1
"BERTHET"	"PIERRE"	"UDF"	"38//3"	.3806611	1	1
"BROTTES"	"FRANCOIS"	"SOC"	"38//5"	.5171024	1	1
"LANGENIEUX VILLARD"	"PHILIPPE"	"RPR"	"38//5"	.4828976	1	1
"VALLINI"	"ANDRE"	"PRG"	"38//9"	.534565	1	1
"HANNOUN"	"MICHEL"	"RPR"	"38//9"	.4654351	1	1
"PELISSARD"	"JACQUES"	"RPR"	"39//1"	.5298052	1	1
"COLMOU"	"YVES"	"SOC"	"39//1"	.4701947	1	1
"GALIZI"	"FRANCIS"	"UDF"	"4//1"	.4753126	1	1
"BIANCO"	"JEAN LOUIS"	"SOC"	"4//1"	.5246873	1	1
"DELMAR"	"PIERRE"	"RPR"	"4//2"	.4959536	1	1
"HONDE"	"ROBERT"	"PRG"	"4//2"	.5040464	1	1
"VIDALIES"	"ALAIN"	"PRG"	"40//1"	.5412104	1	1
"LAUGA"	"LOUIS"	"RPR"	"40//1"	.4587896	1	1
"LALANNE"	"HENRI"	"UDF"	"40//2"	.4398555	1	1
"DUFAU"	"JEAN PIERRE"	"PRG"	"40//2"	.5601445	1	1
"EMMANUELLI"	"HENRI"	"PRG"	"40//3"	.6093345	1	1
