* Dictionary *
election:	election number
id:		id, constant through session
subject:	subject #, changes across elections
round:	round within the election                  
prop1:	offer to subjects #1
prop2:	offer to subjects #2
prop3:	offer to subjects #3
prop4:	offer to subjects #4
prop5:	offer to subjects #5
prop6:	offer to subjects #6
vote1:	offer to subjects #1 in the selected offer (the proposal on the floor)
vote2:	offer to subjects #2 in the selected offer (the proposal on the floor)
vote3:	offer to subjects #3 in the selected offer (the proposal on the floor)
vote4:	offer to subjects #4 in the selected offer (the proposal on the floor)
vote5:	offer to subjects #5 in the selected offer (the proposal on the floor)
vote6:	offer to subjects #6 in the selected offer (the proposal on the floor)
vote:		= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
proposer:	id of the subject selected to be the proposer
session:	session #
open:		= 1 if the amendment rule is open, = 0 o/w
second:	= 1 if the subject votes to second the selected offer (the proposal on the floor), = 0 o/w
amend1:	offer to subjects #1 in the amendment
amend2:	offer to subjects #2 in the amendment
amend3:	offer to subjects #3 in the amendment
amend4:	offer to subjects #4 in the amendment
amend5:	offer to subjects #5 in the amendment
decider:	id of the subject selected to determine if there is an amendment
amflo1:	offer to subjects #1 in the selected amendment
amflo2:	offer to subjects #2 in the selected amendment
amflo3:	offer to subjects #3 in the selected amendment
amflo4:	offer to subjects #4 in the selected amendment
amflo5:	offer to subjects #5 in the selected amendment
runoff:	= 1 if the subject votes in favor of the original offer, = 0 o/w
computer:	= 1 if there is a confederate subject in the session playing a pre-determined strategy, 0 o/w
dropped:	identifies cases that were dropped from the analysis because there were problems when the forms were filled out which were not immediately caught by the experimenters (such as offers that summed to more than the available amount of money); = 1 if dropped, = 0 o/w
**************

election	id	subject	round	prop1	prop2	prop3	prop4	prop5	prop6	vote1	vote2	vote3	vote4	vote5	vote6	vote	proposer	session	open	second	amend1	amend2	amend3	amend4	amend5	decider	amflo1	amflo2	amflo3	amflo4	amflo5	runoff	computer	dropped
6	"E"	4	1	5	2	4.5	9	4.5		5	5	5	5	5		1	"A"	1	0							""							0	
6	"E"	3	1	7	0	11	0	7		8	0	8	0	9		1	"F"	1	0							""							1	0
6	"F"	5	1	8	0	8	0	9		8	0	8	0	9		1	"F"	1	0							""							1	0
7	"A"	5	1	5	5		5	5	5	7	11		7	0	0	0	"B"	1	0							""							1	0
7	"A"	3	1	12	7	6	0	0		8.34	8.33	8.33	0	0		1	"B"	1	0							""							0	
7	"B"	2	1	7	11		7	0	0	7	11		7	0	0	1	"B"	1	0							""							1	0
7	"B"	1	1	8.34	8.33	8.33	0	0		8.34	8.33	8.33	0	0		1	"B"	1	0							""							0	
7	"C"	4	1	8	0		8	0	9	7	11		7	0	0	1	"B"	1	0							""							1	0
7	"C"	5	1	0	7	0	7	11		8.34	8.33	8.33	0	0		0	"B"	1	0							""							0	
7	"D"	2	1	5	5	5	5	5		8.34	8.33	8.33	0	0		1	"B"	1	0							""							0	
7	"D"	3	1	0	0		14	5.5	5.5	7	11		7	0	0	0	"B"	1	0							""							1	0
7	"E"	1	1	11	7		0	0	7	7	11		7	0	0	1	"B"	1	0							""							1	0
7	"E"	4	1	8	4	3	5	5		8.34	8.33	8.33	0	0		0	"B"	1	0							""							0	
7	"F"	6	1	8	0		0	7	10	7	11		7	0	0	0	"B"	1	0							""							1	0
8	"A"	5	1	0	0	7	6	12		0	0	7	11	7		1	"C"	1	0							""							0	
8	"A"	5	1	5	4	4		8	4	7	0	7		0	11	0	"E"	1	0							""							1	0
8	"B"	2	1	8.33	8.34	8.33	0	0		0	0	7	11	7		0	"C"	1	0							""							0	
8	"B"	1	1	11	7	7		0	0	7	0	7		0	11	1	"E"	1	0							""							1	0
8	"C"	3	1	9	0	8		8	0	7	0	7		0	11	1	"E"	1	0							""							1	0
8	"C"	4	1	0	0	7	11	7		0	0	7	11	7		1	"C"	1	0							""							0	
8	"D"	4	1	14	5.5	5.5		0	0	7	0	7		0	11	0	"E"	1	0							""							1	0
8	"D"	3	1	1	7	11	6	0		0	0	7	11	7		1	"C"	1	0							""							0	
8	"E"	1	1	8	4	5	4	4		0	0	7	11	7		0	"C"	1	0							""							0	
8	"E"	6	1	7	0	7		0	11	7	0	7		0	11	1	"E"	1	0							""							1	0
8	"F"	2	1	7	11	0		7	0	7	0	7		0	11	0	"E"	1	0							""							1	0
9	"A"	1	1	9		2.5	7	4	2.5	0		7	0	11	7	0	"B"	1	0							""							1	0
9	"A"	2	1	0	12	6	7	0		7	0	0	11	7		0	"C"	1	0							""							0	
9	"B"	3	1	0	7	11	7	0		7	0	0	11	7		0	"C"	1	0							""							0	
9	"B"	5	1	0		7	0	11	7	0		7	0	11	7	1	"B"	1	0							""							1	0
9	"C"	4	1	7	0	0	11	7		7	0	0	11	7		1	"C"	1	0							""							0	
9	"C"	3	1	8		8	0	9	0	0		7	0	11	7	1	"B"	1	0							""							1	0
9	"D"	6	1	0		0	5.5	5.5	14	0		7	0	11	7	1	"B"	1	0							""							1	0
9	"D"	1	1	13	0	6	0	6		7	0	0	11	7		1	"C"	1	0							""							0	
9	"E"	4	1	5		5	5	5	5	0		7	0	11	7	0	"B"	1	0							""							1	0
9	"E"	5	1	3	4	5	5.5	7.5		7	0	0	11	7		1	"C"	1	0							""							0	
9	"F"	2	1	1		1	1	1	21	0		7	0	11	7	0	"B"	1	0							""							1	0
10	"A"	1	1	12	6	7	0	0		4	3	10	2	6		1	"E"	1	0							""							0	
10	"A"	3	1		7	4	7	3.5	3.5		7	0	7	0	11	0	"B"	1	0							""							1	0
10	"B"	6	1		7	0	7	0	11		7	0	7	0	11	1	"B"	1	0							""							1	0
10	"B"	5	1	0	0	5	5	15		4	3	10	2	6		1	"E"	1	0							""							0	
10	"C"	2	1	0	11	0	7	7		4	3	10	2	6		0	"E"	1	0							""							0	
10	"C"	4	1		7	0	11	0	7		7	0	7	0	11	1	"B"	1	0							""							1	0
10	"D"	2	1		14	5.5	5.5	0	0		7	0	7	0	11	1	"B"	1	0							""							1	0
10	"D"	4	1	6	0	6	13	0		4	3	10	2	6		0	"E"	1	0							""							0	
10	"E"	3	1	4	3	10	2	6		4	3	10	2	6		1	"E"	1	0							""							0	
10	"E"	1	1		25	0	0	0	0		7	0	7	0	11	1	"B"	1	0							""							1	0
10	"F"	5	1		0	6	6	0	13		7	0	7	0	11	0	"B"	1	0							""							1	0
11	"A"	2	1	5	5	5		5	5	5	5	5		5	5	1	"A"	1	0							""							1	0
11	"B"	3	1	7	0	11		0	7	5	5	5		5	5	1	"A"	1	0							""							1	0
11	"C"	6	1	7	0	7		0	11	5	5	5		5	5	1	"A"	1	0							""							1	0
11	"D"	4	1	14	5.5	5.5		0	0	5	5	5		5	5	0	"A"	1	0							""							1	0
11	"E"	1	1	13	6	6		0	0	5	5	5		5	5	1	"A"	1	0							""							1	0
11	"F"	5	1	6	0	6		13	0	5	5	5		5	5	1	"A"	1	0							""							1	0
12	"A"	2	1	3.5	8		6	4	3.5	0	6		6	13	0	1	"F"	1	0							""							1	0
12	"B"	6	1	7	0		7	0	11	0	6		6	13	0	0	"F"	1	0							""							1	0
12	"C"	4	1	7	0		11	0	7	0	6		6	13	0	1	"F"	1	0							""							1	0
12	"D"	1	1	14	0		5.5	0	5.5	0	6		6	13	0	0	"F"	1	0							""							1	0
12	"E"	3	1	5	5		5	5	5	0	6		6	13	0	1	"F"	1	0							""							1	0
12	"F"	5	1	0	6		6	13	0	0	6		6	13	0	1	"F"	1	0							""							1	0
13	"A"	6	1	5	0		6	5	9	7	0		7	11	0	0	"C"	1	0							""							1	0
13	"B"	2	1	6	13		0	6	0	7	0		7	11	0	0	"C"	1	0							""							1	0
13	"C"	5	1	7	0		7	11	0	7	0		7	11	0	1	"C"	1	0							""							1	0
13	"D"	3	1	0	0		15	5	5	7	0		7	11	0	0	"C"	1	0							""							1	0
13	"E"	4	1	0	6		13	6	0	7	0		7	11	0	1	"C"	1	0							""							1	0
13	"F"	1	1	13	0		6	6	0	7	0		7	11	0	1	"C"	1	0							""							1	0
14	"A"	2	1		10	8	0	7	0		0	11	7	7	0	0	"C"	1	0							""							1	0
14	"B"	4	1		0	6	13	0	6		0	11	7	7	0	1	"C"	1	0							""							1	0
14	"C"	3	1		0	11	7	7	0		0	11	7	7	0	1	"C"	1	0							""							1	0
14	"D"	1	1		15	5	5	0	0		0	11	7	7	0	0	"C"	1	0							""							1	0
14	"E"	5	1		0	0	6	13	6		0	11	7	7	0	1	"C"	1	0							""							1	0
14	"F"	6	1		6	0	0	6	13		0	11	7	7	0	0	"C"	1	0							""							1	0
15	"A"	1	1	10	0	7	0	8		0	5	15	5	0		0	"D"	1	0							""							1	0
15	"B"	6	1	5	5	5	5	5		0	5	15	5	0		0	"D"	1	0							""							1	0
15	"C"	5	1	7	0	7	0	11		0	5	15	5	0		0	"D"	1	0							""							1	0
15	"D"	3	1	0	5	15	5	0		0	5	15	5	0		1	"D"	1	0							""							1	0
15	"E"	2	1	6	13	6	0	0		0	5	15	5	0		1	"D"	1	0							""							1	0
15	"F"	4	1	3	3	3	13	3		0	5	15	5	0		1	"D"	1	0							""							1	0
16	"A"	5	1	5	5	5	5		5	0	6	6	13		0	1	"E"	1	0							""							1	0
16	"B"	6	1	0	0	5	5		15	0	6	6	13		0	0	"E"	1	0							""							1	0
16	"C"	2	1	0	11	7	7		0	0	6	6	13		0	1	"E"	1	0							""							1	0
16	"D"	6	1	0	4	4	0		17	0	6	6	13		0	0	"E"	1	0							""							1	0
16	"E"	4	1	0	6	6	13		0	0	6	6	13		0	1	"E"	1	0							""							1	0
16	"F"	3	1	0	6	13	6		0	0	6	6	13		0	1	"E"	1	0							""							1	0
17	"A"	5	1	5	5	5	5		5	17	4	4	0		0	0	"D"	1	0							""							1	0
17	"B"	4	1	0	5	5	15		0	17	4	4	0		0	0	"D"	1	0							""							1	0
