* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.5515	.5166	1	1	"23//2"	40.2	56.16	"Auclair"	"Jean"	"I"	"N"	"UMP/D"	40554	0
.4485	.4834	1	1	"23//2"	56.16	40.2	"Moine"	"Michel"	"N"	"I"	"PS/G"	29415	0
.5222	.5473	1	0	"24//1"	65.94	33.56	"Dasseux"	"Michel"	"I"	"N"	"PS/G"	47002	3049
.4778	.4527	0	1	"24//1"	33.56	65.94	"Delattre"	"Nathalie"	"N"	"I"	"UMP/UDF"	38587	10278
.5461	.4932	1	0	"24//2"	54.24	31.48	"Garrigue"	"Daniel"	"I"	"N"	"UMP/UDF"	33784	10000
.4539	.5068	0	1	"24//2"	31.48	54.24	"Labarthe"	"Cécile"	"N"	"I"	"PS/G"	18405	3811
.527	.5627	1	1	"24//4"	48.78	55.77	"Peiro"	"Germinal"	"I"	"L"	"PS/G"	44258	5509
.473	.4373	1	1	"24//4"	55.77	48.78	"de Peretti"	"Jean-Jacques"	"L"	"I"	"UMP/UDF"	55446	12793
.478	.5326	1	1	"25//1"	55.52	49.9	"Fousseret"	"Jean-Louis"	"I"	"L"	"PS/G"	36849	0
.522	.4674	1	1	"25//1"	49.9	55.52	"Girard"	"Claude"	"L"	"I"	"UMP/D"	44136	10000
.5256	.5178	0	1	"25//2"	52.74	53.38	"Guinchard-Kunstler"	"Paulette"	"I"	"N"	"PS/G"	36159	438
.4744	.4822	1	0	"25//2"	53.38	52.74	"Duverget"	"Jean-Claude"	"N"	"I"	"UMP/D"	35032	10000
.485	.5291	1	1	"25//3"	61.13	56.1	"Parrenin"	"Joseph"	"I"	"N"	"PS/G"	31211	0
.515	.4709	1	1	"25//3"	56.1	61.13	"Bonnot"	"Marcel"	"N"	"I"	"UMP/D"	25170	10000
.4978	.5815	1	0	"25//4"	44.78	63.96	"Moscovici"	"Pierre"	"I"	"N"	"PS/G"	48072	0
.5022	.4185	0	1	"25//4"	63.96	44.78	"Tharin"	"Irène"	"N"	"I"	"UMP/UDF"	24459	10000
.6975	.5728	1	1	"25//5"	55.95	58.09	"Binetruy"	"Jean-Marie"	"N"	"N"	"UMP/D"	21985	10000
.3025	.4272	1	1	"25//5"	58.09	55.95	"Hugot"	"Robert"	"N"	"N"	"Verts/G/ps"	10628	0
.4401	.5004	0	1	"26//1"	49.38	51.04	"Rivasi"	"Michèle"	"I"	"L"	"PS/G"	38136	538
.5599	.4996	1	0	"26//1"	51.04	49.38	"Labaune"	"Patrick"	"L"	"I"	"UMP"	21293	14000
.5239	.5012	1	1	"26//2"	44.24	36.68	"Besson"	"Eric"	"I"	"N"	"PS/PCF"	52731	0
.4761	.4988	1	1	"26//2"	36.68	44.24	"Reynier"	"Franck"	"N"	"I"	"UDF/UMP"	55558	0
.4749	.509	1	1	"26//3"	45.67	43.64	"Grégoire"	"Michel"	"I"	"L"	"PS/G"	50880	0
.5251	.491	1	1	"26//3"	43.64	45.67	"Mariton"	"Hervé"	"L"	"I"	"UMP/UDF"	54455	17851
.3967	.4291	1	1	"26//4"	58.75	56.42	"Bertholet"	"Henri"	"I"	"N"	"PS/G"	55440	9250
.6033	.3852	1	1	"26//4"	56.42	58.75	"Biancheri"	"Gabriel"	"N"	"I"	"UMP/UDF"	39413	10000
