* Dictionary *
round:                    round # [1:6]
payoff:                   payoff in that round (realization of the lottery given the choice or payoff to adviser if advisee follows advice)
preference_0:             priority given to knowing The prob of the outcome being lower than 4 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_1:             priority given to knowing The prob of the outcome being greater than 16 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_2:             priority given to knowing The prob of the outcome being b/w 8 and 12 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
numadvice:                number of pieces of advice deciders were shown [1:3]; set to missing for treatments ~= 3
advice_X:                 identifier (corresponding to reasons) of the piece of advice given in position X <= numadvice (see reasonno below); set to missing for treatments ~= 3
dist_left:                which distribution is on the left [0:4]
dist_right:               which distribution is on the right [0:5]
choice:                   = 1 if choose right distribution; = 0 if choose left distribution; set to missing for adviser
date:                     date of session (different sessions on same day are differentiated by decimals)
treatment:                = 1 for advice; = 2 for control - no advice; = 3 for priority
profit:                   payoff from first part -- survey and Holt-Laury (excluding show-up fee: $15)
female:                   = 1 if female; = 0 if male
age:                      age of subject
sn, se, so, sa, sc:       scores on the big 5 scales, respectively Neuroticism, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness
snp, sep, sop, sap, scp:  percentalies scores associated to sn, se, so, sa, sc using population percentile scores and adjusted for age and gender
rs:                       score on the sensation seeking scale
rstas, rses, rsdis, rsbd: subscales of rs, respectively Thrill and adventure seeking, Experience seeking, Disinhibition, and Boredom susceptibility
group:                    unique identifier for people matched together
id:                       unique subject identifier
adviser:                  = 1 if subject is an advisor; 0 o/w
reasonno:                 identifies the reason used by the advisor, i.e.
                          = 0 for "The prob of the outcome being lower than 4 is..."
                          = 1 for "The prob of the outcome being greater than 16 is..."
                          = 2 for "The prob of the outcome being b/w 8 and 12 is..."
reason_used:              reason number given to decider [0:2]; set to missing if adviser == 1 | treatment > 1
a:                        = advice but on the decider row; set to missing if adviser == 1 | treatment ~= 1
follow:                   = 1 if decision = advice and 0 o/w; set to missing for treatments ~= 1
advice:                   = 1 if advice is for the right; = 0 if advice if for the left; set to missing for decider
ra:                       = sum of number of safe decisions; set to missing if took safe decision, then risky, then safe again
high_var:                 = 1 if subject selected the option with highest variance; = 0  if subject selected the option with lowest variance; set to missing for advisor.
crra:                     = coefficient of constant relative risk aversion consistent with choices in the Holt-Laury lottery; set to missing if switch at first or last choice.
**************
round	payoff	preference_0	preference_1	preference_2	numadvice	advice_0	advice_1	advice_2	dist_left	dist_right	choice	date	treatment	profit	female	age	sn	se	so	sa	sc	snp	sep	sop	sap	scp	rs	rstas	rses	rsdis	rsbd	group	id	adviser	reasonno	reason_used	a	follow	advice	ra	high_var	crra
5	0								1	3	0	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		2	0	1		4	0	.005
5	3.33								1	3		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"8-12"				0	2		-.72
6	0								1	2	1	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		1	1	1		4	1	.005
6	0								1	2		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"GT16"				1	2		-.72
1	0								2	3	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		0	0	1		6	0	.545
1	3.33								2	3		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"LT4"				0	3		-.315
2	0								1	3	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		0	0	1		6	0	.545
2	3.33								1	3		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"LT4"				0	3		-.315
3	0								0	2	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		2	0	1		6	0	.545
3	3.33								0	2		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"8-12"				0	3		-.315
4	0								1	2	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		0	0	1		6	0	.545
4	3.33								1	2		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"LT4"				0	3		-.315
5	0								0	1	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		2	0	1		6	0	.545
5	3.33								0	1		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"8-12"				0	3		-.315
6	12								0	3	0	40908.2	1	3.9	1	22	50.53218	56.29781	60.49383	65.88235	56.07787	51	71	84	95	71	20	5	6	8	1	12	26	0		2	0	1		6	0	.545
6	3.33								0	3		40908.2	1	1.6	0	23	40.91626	57.29783	70.1502	69.67939	53.15347	19	74	99	99	61	21	10	7	2	2	12	39	1	"8-12"				0	3		-.315
1	10								0	2	0	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		2	0	1		5	0	.28
1	3.33								0	2		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"8-12"				0	3		-.315
2	0								0	1	0	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		2	0	1		5	0	.28
2	3.33								0	1		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"8-12"				0	3		-.315
3	0								2	3	0	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		0	0	1		5	0	.28
3	3.33								2	3		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"LT4"				0	3		-.315
4	0								1	2	0	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		2	1	0		5	0	.28
4	0								1	2		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"8-12"				1	3		-.315
5	0								0	3	0	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		2	0	1		5	0	.28
5	3.33								0	3		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"8-12"				0	3		-.315
6	0								1	3	1	40908.2	1	.1	0	21	47.591	59.92768	63.82608	69.67939	61.56272	41	82	92	99	86	21	6	8	3	4	13	35	0		1	1	1		5	1	.28
6	3.33								1	3		40908.2	1	.1	0	18	59.57676	53.44828	56.48343	54.78854	34.36163	81	62	72	66	4	26	9	7	4	6	13	28	1	"GT16"				1	3		-.315
1	0								1	2	1	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		2	1	1		6	1	.545
1	3.33								1	2		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"8-12"				1	6		.545
2	10								0	3	0	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		2	0	1		6	0	.545
2	3.33								0	3		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"8-12"				0	6		.545
3	0								2	3	1	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		1	1	1		6	1	.545
3	3.33								2	3		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"GT16"				1	6		.545
4	0								0	1	0	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		2	0	1		6	0	.545
4	3.33								0	1		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"8-12"				0	6		.545
5	0								1	3	1	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		2	0	0		6	1	.545
5	0								1	3		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"8-12"				0	6		.545
6	0								0	2	0	40908.2	1	1.6	1	21	44.34406	52.88251	51.44033	45.6892	56.07787	30	60	55	34	71	17	5	5	5	2	14	36	0		2	0	1		6	0	.545
6	3.33								0	2		40908.2	1	3.9	0	21	57.29976	49.40828	47.2253	35.32824	53.15347	74	47	40	6	61	22	8	6	5	3	14	23	1	"8-12"				0	6		.545
1	0								0	1	0	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		1	1	0		6	0	.545
1	0								0	1		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"GT16"				1	6		.545
2	0								0	3	0	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		0	0	1		6	0	.545
2	3.33								0	3		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"LT4"				0	6		.545
3	7								1	3	0	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		0	0	1		6	0	.545
3	3.33								1	3		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"LT4"				0	6		.545
4	0								1	2	1	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		2	1	1		6	1	.545
4	3.33								1	2		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"8-12"				1	6		.545
5	0								2	3	0	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		0	0	1		6	0	.545
5	3.33								2	3		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"LT4"				0	6		.545
6	0								0	2	0	40908.2	1	2	0	19	46.31081	58.65322	71.84317	58.19918	46.784	37	79	99	77	38	29	5	10	10	4	15	21	0		0	0	1		6	0	.545
6	3.33								0	2		40908.2	1	2	0	19	51.3645	37.18283	59.717	46.603	61.27674	54	10	82	38	86	11	2	6	2	1	15	31	1	"LT4"				0	6		.545
1	13								1	2	0	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		1	1	0		4	0	.005
1	3.33								1	2		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"GT16"				1	7		.825
2	0								2	3	1	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		1	1	1		4	1	.005
2	3.33								2	3		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"GT16"				1	7		.825
3	0								0	2	0	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		2	0	1		4	0	.005
3	3.33								0	2		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"8-12"				0	7		.825
4	0								0	3	0	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		0	0	1		4	0	.005
4	3.33								0	3		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"LT4"				0	7		.825
5	0								1	3	1	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		1	1	1		4	1	.005
5	3.33								1	3		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"GT16"				1	7		.825
6	0								0	1	0	40908.2	1	1.6	0	20	37.46684	39.13468	50.82457	60.92769	61.96687	10	14	52	85	87	21	7	7	4	3	16	22	0		1	1	0		4	0	.005
6	0								0	1		40908.2	1	3.9	0	19	61.47189	68.41249	24.95553	29.54979	38.50241	86	98	1	0	13	26	5	5	10	6	16	27	1	"GT16"				1	7		.825
1	0								1	2	0	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		1	1	0		4	0	.005
1	3.33								1	2		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"GT16"				1	5		.28
2	0								0	1	1	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		1	1	1		4	1	.005
2	3.33								0	1		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"GT16"				1	5		.28
3	10								0	2	0	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		2	0	1		4	0	.005
3	3.33								0	2		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"8-12"				0	5		.28
4	0								2	3	1	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		2	0	0		4	1	.005
4	0								2	3		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"8-12"				0	5		.28
5	0								0	3	0	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		2	0	1		4	0	.005
5	3.33								0	3		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"8-12"				0	5		.28
6	0								1	3	0	40908.2	1	3.9	0	19	45.04738	52.147	68.60954	56.15279	61.96687	32	57	98	71	87	32	9	8	7	8	17	34	0		0	0	1		4	0	.005
6	3.33								1	3		40908.2	1	3.9	1	23	54.86386	51.5164	54.73251	60.61457	56.79885	66	55	66	84	73	20	9	6	2	3	17	29	1	"LT4"				0	5		.28
1	0								0	2	0	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		2	0	1		6	0	.545
1	3.33								0	2		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"8-12"				0	8		1.17
2	0								2	3	1	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		1	1	1		6	1	.545
2	3.33								2	3		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"GT16"				1	8		1.17
3	0								1	3	0	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		0	0	1		6	0	.545
3	3.33								1	3		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"LT4"				0	8		1.17
4	0								1	2	0	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		0	0	1		6	0	.545
4	3.33								1	2		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"LT4"				0	8		1.17
5	2								0	3	1	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		1	1	1		6	1	.545
5	3.33								0	3		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"GT16"				1	8		1.17
6	0								0	1	0	40908.2	1	3.9	1	18	63.19026	44.486	64.34966	64.277	58.15717	90	30	93	92	77	18	6	7	4	1	18	40	0		2	0	1		6	0	.545
6	3.33								0	1		40908.2	1	2	0	18	41.25711	50.84581	44.35732	60.24556	59.20635	20	53	30	83	80	12	9	2	0	1	18	32	1	"8-12"				0	8		1.17
1	0								1	3	0	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		2	0	1		7	0	.825
1	3.33								1	3		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"8-12"				0	5		.28
2	0								0	2	0	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		2	0	1		7	0	.825
2	3.33								0	2		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"8-12"				0	5		.28
3	0								2	3	0	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		0	0	1		7	0	.825
3	3.33								2	3		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"LT4"				0	5		.28
4	0								0	1	1	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		1	1	1		7	1	.825
4	3.33								0	1		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"GT16"				1	5		.28
5	12								1	2	1	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		2	1	1		7	1	.825
5	3.33								1	2		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"8-12"				1	5		.28
6	0								0	3	0	40908.2	1	1.6	1	19	40.12812	61.84246	52.52534	46.866	53.28929	17	87	58	38	61	22	6	6	8	2	19	24	0		2	0	1		7	0	.825
6	3.33								0	3		40908.2	1	2	1	18	46.53427	59.17223	67.728	52.165	47.726	37	80	98	57	41	27	8	8	7	4	19	30	1	"8-12"				0	5		.28
1	0								0	2	0	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		2	0	1		4	0	.005
1	3.33								0	2		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"8-12"				0	6		.545
2	0								0	3	1	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		1	1	1		4	1	.005
2	3.33								0	3		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"GT16"				1	6		.545
3	0								1	2	0	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		2	1	0		4	0	.005
3	0								1	2		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"8-12"				1	6		.545
4	0								0	1	1	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		0	0	0		4	1	.005
4	0								0	1		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"LT4"				0	6		.545
5	0								1	3	0	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		0	0	1		4	0	.005
5	3.33								1	3		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"LT4"				0	6		.545
6	0								2	3	1	40908.2	1	2	0	19	50.10108	50.84581	37.08165	43.19236	62.657	50	53	9	26	89	17	6	4	5	2	20	37	0		1	1	1		4	1	.005
6	3.33								2	3		40908.2	1	2	1	21	47.43812	42.63661	50.61728	49.201	53.19394	40	24	52	47	61	31	8	9	7	7	20	33	1	"GT16"				1	6		.545
1	11								0	2	0	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	0	.545
2	0								1	3	0	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	0	.545
3	0								0	1	1	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	1	.545
4	0								0	3	0	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	0	.545
5	0								2	3	1	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	1	.545
6	0								1	2	0	52908.1	2	1.6	0	20	48.83765	62.55693	46.78254	55.47066	66.10766	45	89	38	69	96	24	9	4	8	3	31	85	0						6	0	.545
1	0								1	2	0	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	0	-.315
2	0								2	3	0	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	0	-.315
3	0								1	3	0	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	0	-.315
4	0								0	1	1	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	1	-.315
5	11								0	2	0	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	0	-.315
6	0								0	3	0	52908.1	2	2	0	22	51.2318	41.51874	59.87352	63.57252	45.445	54	21	82	91	34	30	9	7	7	7	32	88	0						3	0	-.315
1	0								1	2	1	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	1	.825
2	0								0	3	0	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	0	.825
3	0								0	1	1	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	1	.825
4	25								2	3	0	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	0	.825
5	0								1	3	0	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	0	.825
6	0								0	2	0	52908.1	2	.1	0	20	58.31333	44.33963	53.24979	52.74215	64.03726	78	30	61	59	92	13	6	5	0	2	33	97	0						7	0	.825
1	10								2	3	0	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	0	.28
2	0								1	2	1	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	1	.28
3	0								1	3	0	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	0	.28
4	0								0	2	0	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	0	.28
5	0								0	3	0	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	0	.28
6	0								0	1	0	52908.1	2	3.9	1	21	46.81931	49.46721	46.50206	57.98068	64.72963	38	48	37	77	93	13	6	6	1	0	34	83	0						5	0	.28
1	10								0	3	0	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	0	.545
2	0								2	3	1	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	1	.545
3	0								0	2	0	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	0	.545
4	0								1	2	0	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	0	.545
5	0								1	3	0	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	0	.545
6	0								0	1	0	52908.1	2	3.9	1	32	43.72525	45.36885	35.80247	31.64179	58.24081	28	33	7	1	77	15	7	4	1	3	35	84	0						6	0	.545
1	0								1	3	1	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	1	.545
2	4								0	1	1	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	1	.545
3	0								2	3	0	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	0	.545
4	0								0	2	1	52908.1	2	1.6	0	20	63.367	43.03839	37.89005	45.92087	43.33333	91	26	11	35	27	20	7	4	6	3	36	96	0						6	1	.545
