* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
6	1	1	30	33	.3333333	3	13	1	15	0	15	1	1	22702	0	0
6	1	1	30	33	.3333333	3	14	3	1	13	16	0	1	22702	0	0
6	1	1	30	33	.3333333	4	4	1	16	14	0	0	0	22702	0	0
6	1	1	30	33	.3333333	4	11	2	1	14	15	1	1	22702	0	0
6	1	1	30	33	.3333333	4	15	3	13.59	.01	16.4	0	1	22702	0	0
6	1	1	30	33	.3333333	5	2	3	15	7.5	7.5	1	0	22702	0	0
6	1	1	30	33	.3333333	5	9	1	15.5	14.5	0	0	1	22702	0	0
6	1	1	30	33	.3333333	5	10	2	11	19	0	0	0	22702	0	0
6	2	1	30	33	.3333333	2	6	3	10	1	19	0	1	22702	0	0
6	2	1	30	33	.3333333	2	7	2	0	16	14	0	0	22702	0	0
6	2	1	30	33	.3333333	2	8	1	10	10	10	1	1	22702	0	0
6	2	1	30	33	.3333333	5	2	3	0	15	15	0	0	22702	0	0
6	2	1	30	33	.3333333	5	9	1	15.5	14.5	0	1	1	22702	0	0
6	2	1	30	33	.3333333	5	10	2	11	19	0	0	1	22702	0	0
7	1	1	30	33	.3333333	1	7	1	16	0	14	0	0	22702	0	0
7	1	1	30	33	.3333333	1	8	2	8	15	7	1	1	22702	0	0
7	1	1	30	33	.3333333	1	12	3	5	11	14	0	0	22702	0	0
7	1	1	30	33	.3333333	2	4	3	0	14	16	0	1	22702	0	0
7	1	1	30	33	.3333333	2	9	2	14.5	15.5	0	0	0	22702	0	0
7	1	1	30	33	.3333333	2	11	1	14	1	15	1	1	22702	0	0
7	1	1	30	33	.3333333	3	2	1	16	13	1	0	1	22702	0	0
7	1	1	30	33	.3333333	3	10	2	11	19	0	0	0	22702	0	0
7	1	1	30	33	.3333333	3	15	3	13.59	.01	16.4	1	1	22702	0	0
7	1	1	30	33	.3333333	4	6	3	10	0	20	1	1	22702	0	0
7	1	1	30	33	.3333333	4	13	2	15	15	0	0	0	22702	0	0
7	1	1	30	33	.3333333	4	14	1	16	14	0	0	0	22702	0	0
7	1	1	30	33	.3333333	5	1	2	10	20	0	1	0	22702	0	1
7	1	1	30	33	.3333333	5	3	1	15	15	0	0	0	22702	0	1
7	1	1	30	33	.3333333	5	5	3	1	10	19	0	0	22702	0	1
7	2	1	30	33	.3333333	1	7	1	16	0	14	0	0	22702	0	0
7	2	1	30	33	.3333333	1	8	2	0	15	15	1	1	22702	0	0
7	2	1	30	33	.3333333	1	12	3	9	9	12	0	1	22702	0	0
7	2	1	30	33	.3333333	4	6	3	15	1	14	1	1	22702	0	0
7	2	1	30	33	.3333333	4	13	2	15	15	0	0	0	22702	0	0
7	2	1	30	33	.3333333	4	14	1	16	14	0	0	1	22702	0	0
7	2	1	30	33	.3333333	5	1	2	10	11	9	0	1	22702	0	1
7	2	1	30	33	.3333333	5	3	1	15	0	15	0	0	22702	0	1
7	2	1	30	33	.3333333	5	5	3	0	0	30	1	1	22702	0	1
8	1	1	30	33	.3333333	1	5	3	0	0	30	1	1	22702	0	0
8	1	1	30	33	.3333333	1	6	2	5	20	5	0	0	22702	0	0
8	1	1	30	33	.3333333	1	7	1	15	8	7	0	0	22702	0	0
8	1	1	30	33	.3333333	2	8	3	12	0	18	0	0	22702	0	0
8	1	1	30	33	.3333333	2	12	2	13	15	2	1	1	22702	0	0
