* Dictionary *
round:		round #
stage:		stage #
delta:		delta
amount:		amount to divide
weight:		weight (number of votes)
group:		identifies subjects that were grouped together
id:			id #, constant through session
subject:		subject #, changes across elections
step:			step #
d1:			selected demand in step 1
d2:			selected demand in step 2
demand:		demand
o1:			subject number proposed to go first
o2:			subject number proposed to go second
o3:			subject number proposed to go third
close:		= 1 if subject proposed to close the coalition, = 0 o/w
selected:		demand selected to take the floor
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
experienced:	= 1 if subjects have participated in 1 session before, = 0 o/w
total_votes:	total # of votes per group
full:			= 1 if all subjects in that session are paid in full, 0 o/w
**************

round	stage	delta	amount	weight	group	id	subject	step	d1	d2	demand	o1	o2	o3	close	selected	date	experienced	total_votes	full
4	1	1	50	2	1	11	1	1			30	1	2	3	0	1	21004.1	0	5	1
4	1	1	50	2	2	2	2	1			31.05	2	1	3	0	1	21004.1	0	5	1
4	1	1	50	1	2	3	1	1			20	1	2	3	0	0	21004.1	0	5	1
4	1	1	50	2	2	4	3	1			24	3	1	2	0	0	21004.1	0	5	1
4	1	1	50	2	3	13	1	1			16.66	1	2	3	0	0	21004.1	0	5	1
4	1	1	50	2	3	17	3	1			28	3	2	1	0	1	21004.1	0	5	1
4	1	1	50	1	3	18	2	1			26.25	2	1	3	0	0	21004.1	0	5	1
4	1	1	50	2	4	8	1	1			27	1	2	3	0	0	21004.1	0	5	1
4	1	1	50	2	4	10	2	1			25	2	1	3	0	1	21004.1	0	5	1
4	1	1	50	1	4	12	3	1			25	3	1	2	0	0	21004.1	0	5	1
4	1	1	50	2	5	5	3	1			20	3	1	2	0	0	21004.1	0	5	1
4	1	1	50	1	5	15	1	1			24.5	1	2	3	0	1	21004.1	0	5	1
4	1	1	50	2	5	16	2	1			27	2	3	1	0	0	21004.1	0	5	1
4	1	1	50	2	6	1	2	1			10	2	3	1	0	0	21004.1	0	5	1
4	1	1	50	1	6	6	3	1			24	3	1	2	0	0	21004.1	0	5	1
4	1	1	50	2	6	14	1	1			25	1	2	3	0	1	21004.1	0	5	1
4	1	1	50	2	1	7	2	2	30		25				0	1	21004.1	0	5	1
4	1	1	50	1	2	3	1	2	31.05		25				0	1	21004.1	0	5	1
4	1	1	50	1	3	18	2	2	28		25				0	1	21004.1	0	5	1
4	1	1	50	2	4	8	1	2	25		25				1	1	21004.1	0	5	1
4	1	1	50	2	5	16	2	2	24.5		25.5				1	1	21004.1	0	5	1
4	1	1	50	2	6	1	2	2	25		15				0	1	21004.1	0	5	1
4	1	1	50	1	1	9	3	3	30	25	25				1	1	21004.1	0	5	1
4	1	1	50	2	2	4	3	3	31.05	25	25				1	1	21004.1	0	5	1
4	1	1	50	2	3	13	1	3	28	25	16.66				0	1	21004.1	0	5	1
4	1	1	50	1	6	6	3	3	25	15	27				1	1	21004.1	0	5	1
4	2	1	50	2	3	13	1	1			16.66	1	3	2	0	0	21004.1	0	5	1
4	2	1	50	2	3	17	3	1			26	3	2	1	0	1	21004.1	0	5	1
4	2	1	50	1	3	18	2	1			25	2	1	3	0	0	21004.1	0	5	1
4	2	1	50	1	3	18	2	2	26		25				0	1	21004.1	0	5	1
4	2	1	50	2	3	13	1	3	26	25	16.66				1	1	21004.1	0	5	1
5	1	1	50	2	1	11	3	1			25	3	2	1	0	1	21004.1	0	5	1
5	1	1	50	2	1	16	2	1			26	2	3	1	0	0	21004.1	0	5	1
5	1	1	50	1	1	18	1	1			27.5	1	2	3	0	0	21004.1	0	5	1
5	1	1	50	2	2	1	2	1			15	2	1	3	0	0	21004.1	0	5	1
5	1	1	50	1	2	9	3	1			18	3	1	2	0	1	21004.1	0	5	1
5	1	1	50	2	2	17	1	1			25	1	3	2	0	0	21004.1	0	5	1
5	1	1	50	2	3	5	2	1			24.5	2	1	3	0	0	21004.1	0	5	1
5	1	1	50	1	3	6	1	1			23	1	2	3	0	1	21004.1	0	5	1
5	1	1	50	2	3	10	3	1			25	3	2	1	0	0	21004.1	0	5	1
5	1	1	50	1	4	3	1	1			22	1	2	3	0	0	21004.1	0	5	1
5	1	1	50	2	4	4	3	1			17.5	3	1	2	0	1	21004.1	0	5	1
5	1	1	50	2	4	8	2	1			27	2	1	3	0	0	21004.1	0	5	1
5	1	1	50	2	5	2	2	1			26.15	2	1	3	0	1	21004.1	0	5	1
5	1	1	50	2	5	7	1	1			20	1	3	2	0	0	21004.1	0	5	1
