**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Clark et al (2001),27,5,15,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,5,16,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,5,17,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,5,18,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,5,19,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,5,20,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,1,16,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,6,2,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,3,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,4,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,5,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,6,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,7,12,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,6,8,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,9,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,10,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,11,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,12,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,6,13,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,14,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,15,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,16,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,6,17,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,18,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,19,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,6,20,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,1,17,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,7,2,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,3,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,4,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,5,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,6,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,7,13,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,7,8,14,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,7,9,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,10,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,11,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,12,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,13,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,7,14,8,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,7,15,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,16,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,17,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,7,18,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,19,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,7,20,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,1,18,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,8,2,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,3,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,4,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,5,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,6,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,7,14,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,8,8,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,9,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,10,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,11,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,12,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,13,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,14,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,8,15,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,16,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,17,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,18,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,8,19,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,8,20,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,1,19,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,9,2,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,3,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,4,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,5,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,6,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,7,15,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,9,8,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,9,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,10,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,11,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,12,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,13,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,14,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,15,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,9,16,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,17,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,18,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,9,19,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,9,20,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,1,20,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,10,2,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,3,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,4,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,5,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,6,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,7,16,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,10,8,17,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,10,9,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,10,19,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,10,11,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,12,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,13,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,14,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,15,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,16,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,10,17,8,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),27,10,18,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),27,10,19,10,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),27,10,20,1,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,1,1,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,2,12,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,1,3,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,4,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,5,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,6,16,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,1,7,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,8,18,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,1,9,19,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,1,10,20,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,1,11,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,12,2,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,1,13,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,14,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,15,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,16,6,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,1,17,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,1,18,8,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,1,19,9,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,1,20,10,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,2,1,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,2,13,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,2,3,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,4,15,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,2,5,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,6,17,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,2,7,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,8,19,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,2,9,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,10,11,1000,0,800,800,1,1,perfect stranger,0
Clark et al (2001),28,2,11,10,1000,0,800,800,1,1,perfect stranger,0
Clark et al (2001),28,2,12,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,13,2,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,2,14,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,15,4,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,2,16,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,17,6,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,2,18,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,2,19,8,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,2,20,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,1,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,2,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,3,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,4,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,5,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,6,18,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,3,7,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,8,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,9,11,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,3,10,12,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,3,11,9,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,3,12,10,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,3,13,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,14,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,15,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,16,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,17,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,18,6,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,3,19,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,3,20,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,1,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,2,15,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,4,3,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,4,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,5,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,6,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,7,20,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,4,8,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,9,12,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,4,10,13,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,4,11,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,12,9,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,4,13,10,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,4,14,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,15,2,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,4,16,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,17,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,18,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,19,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,4,20,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,1,15,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,2,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,3,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,4,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,5,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,6,20,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,7,11,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,8,12,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,9,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,10,14,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,5,11,7,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,5,12,8,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,5,13,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,14,10,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,5,15,1,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,5,16,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,17,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,18,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,19,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,5,20,6,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,6,1,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,2,17,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,6,3,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,4,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,5,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,6,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,7,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,8,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,9,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,10,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,11,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,12,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,13,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,14,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,15,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,16,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,17,2,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,6,18,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,19,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,6,20,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,1,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,2,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,3,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,4,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,5,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,6,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,7,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,8,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,9,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,10,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,11,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,12,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,13,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,14,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,15,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,16,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,17,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,18,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,19,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,7,20,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,1,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,2,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,3,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,4,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,5,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,6,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,7,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,8,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,9,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,10,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,11,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,12,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,13,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,14,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,15,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,16,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,17,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,18,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,19,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,8,20,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,1,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,2,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,3,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,4,12,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,9,5,13,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,9,6,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,7,15,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,8,16,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,9,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,10,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,11,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,12,4,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,9,13,5,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,9,14,6,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,15,7,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,16,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,17,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,18,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,19,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,9,20,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,1,20,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,2,11,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,3,12,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,4,13,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,5,14,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,6,15,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,10,7,16,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,10,8,17,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,9,18,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,10,19,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,11,2,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,12,3,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,13,4,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,14,5,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,15,6,1000,0,800,800,1,0,perfect stranger,0
Clark et al (2001),28,10,16,7,1000,0,800,800,0,1,perfect stranger,0
Clark et al (2001),28,10,17,8,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,18,9,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,19,10,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),28,10,20,1,1000,0,800,800,0,0,perfect stranger,0
Clark et al (2001),29,1,1,11,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,1,2,12,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,3,13,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,1,4,14,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,5,15,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,6,16,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,1,7,17,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,8,18,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,9,19,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,10,20,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,1,11,1,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,1,12,2,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,13,3,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,1,14,4,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,15,5,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,16,6,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,1,17,7,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,18,8,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,1,19,9,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,1,20,10,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,2,1,12,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,2,13,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,2,3,14,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,4,15,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,5,16,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,2,6,17,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,7,18,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,8,19,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,9,20,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,10,11,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,2,11,10,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,2,12,1,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,13,2,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,14,3,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,15,4,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,2,16,5,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,2,17,6,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,2,18,7,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,2,19,8,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,2,20,9,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,3,1,13,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,3,2,14,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,3,3,15,1000,0,700,900,1,0,perfect stranger,0
Clark et al (2001),29,3,4,16,1000,0,700,900,1,1,perfect stranger,0
Clark et al (2001),29,3,5,17,1000,0,700,900,0,1,perfect stranger,0
Clark et al (2001),29,3,6,18,1000,0,700,900,0,0,perfect stranger,0
Clark et al (2001),29,3,7,19,1000,0,700,900,0,0,perfect stranger,0
