**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),1,17,14,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,17,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,17,25,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,17,31,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,17,33,25,45,0,42,12,0,0,random,0
Battalio et al (2001),1,17,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,17,36,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,17,37,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,18,14,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,18,24,25,45,0,42,12,0,0,random,0
Battalio et al (2001),1,18,25,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,18,31,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,18,33,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,18,35,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,18,36,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,18,37,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,19,14,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,19,24,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,19,25,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,19,31,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,19,33,25,45,0,42,12,0,0,random,0
Battalio et al (2001),1,19,35,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,19,36,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,19,37,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,20,14,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,20,24,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,20,25,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,20,31,14,45,0,42,12,1,0,random,0
Battalio et al (2001),1,20,33,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,20,35,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,20,36,25,45,0,42,12,0,0,random,0
Battalio et al (2001),1,20,37,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,21,14,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,21,24,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,21,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,21,31,37,45,0,42,12,1,0,random,0
Battalio et al (2001),1,21,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,21,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,21,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,21,37,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,22,14,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,22,24,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,22,25,31,45,0,42,12,1,0,random,0
Battalio et al (2001),1,22,31,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,22,33,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,22,35,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,22,36,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,22,37,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,14,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,23,24,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,25,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,23,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,33,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,35,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,23,37,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,24,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,24,24,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,24,25,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,24,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,24,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,24,35,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,24,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,24,37,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,25,14,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,25,24,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,25,25,31,45,0,42,12,1,0,random,0
Battalio et al (2001),1,25,31,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,25,33,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,25,35,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,25,36,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,25,37,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,26,14,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,26,24,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,26,25,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,26,31,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,26,33,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,26,35,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,26,36,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,26,37,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,27,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,27,24,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,27,25,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,27,31,37,45,0,42,12,1,0,random,0
Battalio et al (2001),1,27,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,27,35,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,27,36,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,27,37,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,28,14,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,28,24,14,45,0,42,12,1,0,random,0
Battalio et al (2001),1,28,25,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,28,31,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,28,33,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,28,35,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,28,36,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,28,37,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,29,14,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,29,24,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,29,25,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,29,31,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,29,33,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,29,35,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,29,36,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,29,37,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,30,14,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,30,24,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,30,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,30,31,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,30,33,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,30,35,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,30,36,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,30,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,31,14,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,31,24,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,31,25,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,31,31,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,31,33,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,31,35,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,31,36,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,31,37,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,32,14,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,32,24,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,32,25,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,32,31,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,32,33,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,32,35,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,32,36,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,32,37,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,33,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,33,24,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,33,25,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,33,31,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,33,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,33,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,33,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,33,37,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,34,14,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,34,24,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,34,25,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,34,31,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,34,33,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,34,35,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,34,36,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,34,37,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,35,14,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,35,24,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,35,25,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,35,31,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,35,33,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,35,35,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,35,36,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,35,37,14,45,0,42,12,1,1,random,0
