* Dictionary *
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
session:    session #
coop:       = 1 if subject cooperated, = 0 o/w
**************/

id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	session	coop
80	85	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	77	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	82	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	78	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	77	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	78	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	82	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	73	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	81	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	82	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	86	1	1	8	51	22	63	39	1	1.416667	.1910112	4	0
81	76	2	1	8	51	22	63	39	1	1.416667	.1910112	4	0
81	77	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	85	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	73	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	83	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	75	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	76	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	85	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	84	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	77	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	83	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	73	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	86	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	82	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	83	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	86	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	79	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	80	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
81	83	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	85	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	83	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
82	76	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
